"","X","Scientific_name","maximum_longevity_y","adult_body_mass_g","order","common_name","MLres"
"1",1,"Acinonyx_jubatus",20.5,53500,"Carnivora","Cheetah",-0.140195596812757
"2",2,"Acomys_cahirinus",5.9,45.2,"Rodentia","Spiny mouse",-0.204745650739394
"3",3,"Acomys_dimidiatus",7.483333333,45.2,"Rodentia","Eastern Spiny Mouse",-0.101502571781209
"4",4,"Acomys_russatus",5,54.4,"Rodentia","Golden spiny mouse",-0.289099119555483
"5",5,"Aepyceros_melampus",25.6,52500,"Artiodactyla","Impala",-0.042439339261024
"6",6,"Ailuropoda_melanoleuca",36.8,117500,"Carnivora","Giant panda",0.0609369478243361
"7",7,"Ailurus_fulgens",19,4325,"Carnivora","Red panda",-0.00387765358384482
"8",8,"Alces_alces",27,386000,"Artiodactyla","Moose",-0.153612843867697
"9",9,"Allenopithecus_nigroviridis",27,4702.5,"Primates","Allen's swamp monkey",0.143099351892716
"10",10,"Alouatta_palliata",24,7000,"Primates","Mantled howler monkey",0.0651674058201493
"11",11,"Ammotragus_lervia",21.7,92500,"Artiodactyla","Aoudad",-0.15234712074372
"12",12,"Antechinus_flavipes",3.9,45,"Dasyuromorphia","Yellow-footed antechinus",-0.384234535453302
"13",13,"Antidorcas_marsupialis",19.8,39000,"Artiodactyla","Springbok",-0.134004292850562
"14",14,"Antilocapra_americana",15.5,46100,"Artiodactyla","Pronghorn",-0.251596495042043
"15",15,"Antrozous_pallidus",14.8,20.8,"Chiroptera","Pallid bat",0.246911068235636
"16",16,"Aotus_nancymaae",11.39166667,791.03,"Primates","Nancy Ma's Night Monkey",-0.111685226265688
"17",17,"Aplodontia_rufa",10,1125,"Rodentia","Mountain beaver",-0.191981397993906
"18",18,"Apodemus_sylvaticus",6.3,23.4,"Rodentia","Long-tailed field mouse",-0.131938795554271
"19",19,"Arctocephalus_gazella",30.6,84500,"Carnivora","Antarctic fur seal",0.00300379425208841
"20",20,"Artibeus_jamaicensis",19.2,42.2,"Chiroptera","Jamaican fruit-eating bat",0.312326626977965
"21",21,"Arvicanthis_niloticus",6.7,110,"Rodentia","Nile kusu",-0.209392697905441
"22",22,"Arvicola_amphibius",2.5,120,"Rodentia","European water vole",-0.643384760883793
"23",23,"Ateles_belzebuth",37,7535,"Primates","White-bellied spider monkey",0.248200144037101
"24",24,"Ateles_chamek",42.8,6000,"Primates","Chamek spider monkey",0.326776759943039
"25",25,"Ateles_geoffroyi",47.1,7267.5,"Primates","Central American spider monkey",0.355452568063876
"26",26,"Ateles_marginatus",44,6000,"Primates","White-whiskered spider monkey",0.338785667416055
"27",27,"Ateles_paniscus",46,7887.5,"Primates","Black spider monkey",0.339678531658261
"28",28,"Axis_porcinus",22.9,43000,"Artiodactyla","Hog deer",-0.0774066444407196
"29",29,"Babyrousa_celebensis",24,92950.09,"Artiodactyla","North Sulawesi Babirusa",-0.108922367915679
"30",30,"Balaena_mysticetus",211,1e+08,"Cetacea","Bowhead whale",0.36522419636607
"31",31,"Balaenoptera_edeni",72,1.6e+07,"Cetacea","Bryde's whale",0.0216365250133568
"32",32,"Balaenoptera_musculus",110,1.36e+08,"Cetacea","Blue whale",0.061635746966369
"33",33,"Balaenoptera_physalus",114,7e+07,"Cetacea","Fin whale",0.121856568416017
"34",34,"Bassariscus_astutus",19,1015,"Carnivora","Ringtail",0.0936986570701545
"35",35,"Bassariscus_sumichrasti",24,900,"Carnivora","Cacomistle",0.203251003474358
"36",36,"Beatragus_hunteri",23.6,159000,"Artiodactyla","Hirola",-0.15235969886415
"37",37,"Bos_frontalis",26.2,825000,"Artiodactyla","Gaur",-0.217805013239688
"38",38,"Bos_grunniens",26.3,667000,"Artiodactyla","Yak",-0.201839595655051
"39",39,"Bos_taurus",20,750000,"Artiodactyla","Domestic cattle",-0.328660396677309
"40",40,"Bradypus_torquatus",12,3875,"Pilosa","Maned three-toed sloth",-0.196054222673645
"41",41,"Cacajao_calvus",35.8,3165,"Primates","Red uakari",0.292271844479623
"42",42,"Cacajao_melanocephalus",20.45833333,2935,"Primates","Black uakari",0.054337773963063
