"Gene","Effect","Direction"
"LRRIQ1",-0.0318164792913331,"Negative impact on longevity"
"ZNF17",0,"Negative impact on longevity"
"ZNF283",0,"Negative impact on longevity"
"ZNF586",0,"Negative impact on longevity"
"ZNF671",0,"Negative impact on longevity"
"ZNF584",0,"Negative impact on longevity"
"ZSCAN5C",0,"Negative impact on longevity"
"ZNF552",0,"Negative impact on longevity"
"ZNF550",0,"Negative impact on longevity"
"ZNF790",0.0001991360148326,"Positive impact on longevity"
"ZSCAN5A",0.00881455516308792,"Positive impact on longevity"
"ZNF132",0.00988052970648925,"Positive impact on longevity"
"ZNF613",0.0126214322471943,"Positive impact on longevity"
"ZNF304",0.0172695235152589,"Positive impact on longevity"
"CIZ1",0.0180168114987471,"Positive impact on longevity"
"ZNF248",0.0190869858639141,"Positive impact on longevity"
"ZNF782",0.0213359818238486,"Positive impact on longevity"
"FCRL2",0.0299197391412573,"Positive impact on longevity"
"PTN",0.0386887307596279,"Positive impact on longevity"
"C1GALT1C1L",0.042410385136402,"Positive impact on longevity"
