"Gene","Coefficient","Abs_Coefficient","Direction","Rank"
"CES2",-0.0331064440638043,0.0331064440638043,"Negative impact on longevity",1
"ZNF549",0.0316589463296773,0.0316589463296773,"Positive impact on longevity",2
"ZNF419",0.0308695644384842,0.0308695644384842,"Positive impact on longevity",3
"MAGEC2",0.0260766248445694,0.0260766248445694,"Positive impact on longevity",4
"SCD",-0.0236700452544844,0.0236700452544844,"Negative impact on longevity",5
"MAGEA6",0.0203196715392558,0.0203196715392558,"Positive impact on longevity",6
"ZNF586",0.0160663061751326,0.0160663061751326,"Positive impact on longevity",7
"SPANXA2",0.0138494821622846,0.0138494821622846,"Positive impact on longevity",8
"SPANXA1",0.0135714076309265,0.0135714076309265,"Positive impact on longevity",9
"ZNF671",0.0126751746490288,0.0126751746490288,"Positive impact on longevity",10
"ZNF749",0.0125373300794876,0.0125373300794876,"Positive impact on longevity",11
"ZNF772",0.0122564521971453,0.0122564521971453,"Positive impact on longevity",12
"ZNF132",0.0119641197516999,0.0119641197516999,"Positive impact on longevity",13
"ZNF211",0.0119466991345503,0.0119466991345503,"Positive impact on longevity",14
"SPANXC",0.0112477571003508,0.0112477571003508,"Positive impact on longevity",15
"ZIK1",0.0107399803663501,0.0107399803663501,"Positive impact on longevity",16
"ZNF304",0.00851830439565308,0.00851830439565308,"Positive impact on longevity",17
"ZNF17",0.00801005812786251,0.00801005812786251,"Positive impact on longevity",18
"ZNF256",-0.00702944733663895,0.00702944733663895,"Negative impact on longevity",19
"ZNF776",0.00636505184837045,0.00636505184837045,"Positive impact on longevity",20
"ZNF773",0.00426161640614533,0.00426161640614533,"Positive impact on longevity",21
"ZNF599",0.00360085647284522,0.00360085647284522,"Positive impact on longevity",22
"SPANXD",-0.00304416952093384,0.00304416952093384,"Negative impact on longevity",23
"ZNF416",0.00272589114854385,0.00272589114854385,"Positive impact on longevity",24
"SPANXB1",0.000252954997580099,0.000252954997580099,"Positive impact on longevity",25
