"","Max Longevity Simple Phylo Ranking Pathways W Or","Max Longevity Zero Filtered Poisson Pglmm 20250702 110253 Pathways","Mlres Simple Phylo Ranking Pathways W Or","Mlres Zero Filtered Poisson Pglmm 20250707 075917 Pathways"
"ADIPOGENESIS",1.02356072437896,-1.07541985928164,-1.53153426873074,-0.774675982622139
"ALLOGRAFT REJECTION",0.853561153553436,-1.05579957414081,-1.18784648166022,0.916833044324369
"ANDROGEN RESPONSE",1.25058806238574,-1.51670458940478,1.11580137038441,-1.2016086679343
"ANGIOGENESIS",0.772536727602373,-0.909620100606347,0.941443768856433,-0.814868200824643
"APICAL JUNCTION",1.17058441320489,-1.43160993686558,-1.39882077842534,-1.08566107361946
"APICAL SURFACE",0.759218452055468,-1.01898991974502,-1.1010820976112,-1.08786296271676
"APOPTOSIS",0.918394858601304,-1.70489887518859,-1.44606070069122,-1.15976996798447
"BILE ACID METABOLISM",0.751995211946412,-1.6388644366456,1.45106880047547,-1.21568566633734
"CHOLESTEROL HOMEOSTASIS",0.788202172211271,-1.28460210702563,1.04249861018069,-1.01696776744097
"COAGULATION",1.14107199227931,-0.731224088644988,-1.17515035960391,0.8126788329699
"COMPLEMENT",1.12645996185461,-1.2444517720977,-1.12208292410088,0.843132626972383
"DNA REPAIR",1.04134822883822,0.623530292456811,-1.481955294055,0.923338447535118
"E2F TARGETS",1.24951151829322,0.595744623325296,-0.996172833976972,0.991492633134115
"EPITHELIAL MESENCHYMAL TRANSITION",1.22430526288974,-1.54188011406446,-0.925469396010554,-1.2211527332308
"ESTROGEN RESPONSE EARLY",1.16858746307255,-1.82984562200875,1.04186379940225,-1.38547568490229
"ESTROGEN RESPONSE LATE",1.02879655719538,-1.30437510035825,-0.639997045518543,-1.11713125494597
"FATTY ACID METABOLISM",1.18752076546711,-1.37807422861389,-1.02835602344784,-1.08960857142372
"G2M CHECKPOINT",1.03651721720671,-0.951435914361153,-0.837077976613276,0.81739985825764
"GLYCOLYSIS",1.29244639538144,-0.903297171340213,-0.766438816002017,0.773190006170798
"HEDGEHOG SIGNALING",-0.922860873222096,-1.59047659611389,1.21238613029944,-1.40657666588195
"HEME METABOLISM",1.42523025981407,-1.41329625785183,-1.54278914474163,-1.0119872418321
"HYPOXIA",1.31104835421573,-1.33875355212267,-1.24413539049552,-0.850593562887023
"IL2 STAT5 SIGNALING",1.01430446348805,-1.10892741493016,-0.815944464442838,0.618352014264429
"IL6 JAK STAT3 SIGNALING",-0.765270493562259,-1.20843326252653,-0.765800401398779,0.893676284906155
"INFLAMMATORY RESPONSE",0.568305381775746,-1.15809832482604,-0.935544683012674,0.645852624064524
"INTERFERON ALPHA RESPONSE",-1.18597105332426,-0.891591281284974,-1.10815103194435,0.749622304478111
"INTERFERON GAMMA RESPONSE",0.56634385361814,-1.10956081752767,-1.1505995542365,0.776962242974981
"KRAS SIGNALING DN",0.93844722490478,-1.1459384474199,-1.32129914805326,-0.914828062305021
"KRAS SIGNALING UP",0.912996096238421,-1.11620032943854,0.769242506677659,-0.927871887906981
"MITOTIC SPINDLE",1.26168484175934,-1.87579275268764,-0.508577301708584,-1.1478968412327
"MTORC1 SIGNALING",1.35535171971375,0.584758649633314,-1.09582811037511,1.023842271204
"MYC TARGETS V1",0.903788718278689,1.22928882593365,-1.26400652391293,1.59318319800864
"MYC TARGETS V2",1.16754813125458,0.494946135223657,-1.35699726861692,0.952029676305411
"MYOGENESIS",0.838469463089857,-1.34007069438708,-0.902938389391179,-0.995638455866958
"NOTCH SIGNALING",0.936502656552761,-1.06135711356214,0.732279159942663,-0.789086617457823
"OXIDATIVE PHOSPHORYLATION",0.883297680380067,0.866994480882041,1.05222033352263,1.25512565545578
"P53 PATHWAY",1.18147981728727,-1.22145896797113,-1.41260348247891,0.588759353169941
"PANCREAS BETA CELLS",0.894445574977988,-1.74522684725714,-1.43924891907072,-1.30963627321545
"PEROXISOME",0.862058083785962,-1.39489978340487,-0.88709033607832,-1.10020500040006
"PI3K AKT MTOR SIGNALING",1.0594276889515,-0.939438365977339,-1.31542175836627,0.851047202364663
"PROTEIN SECRETION",-0.982185736545841,-1.64242801693439,-0.994567762174623,-1.23901180800012
"REACTIVE OXYGEN SPECIES PATHWAY",1.26516992121654,0.654126004733562,-1.17005120200931,1.01806210777548
"SPERMATOGENESIS",0.902382804559272,-1.38896805511323,-1.41908367201138,-1.05913404242065
"TGF BETA SIGNALING",0.986662186136925,-0.79928206774909,-1.143712117302,1.05934858287822
"TNFA SIGNALING VIA NFKB",0.861986770376793,-0.973639044502907,-1.54158913181693,-0.683353709817167
"UNFOLDED PROTEIN RESPONSE",1.1951039876008,-0.775930188106394,-1.16482962891885,0.847783099715321
"UV RESPONSE DN",-1.09968602889862,-2.08341274223906,-0.766395914831663,-1.65096130602377
"UV RESPONSE UP",0.771730789255158,-0.957504844668317,-0.87335439423593,0.714884324179351
"WNT BETA CATENIN SIGNALING",0.656229809969444,-1.05338207686562,0.768516611514906,0.469006299754135
"XENOBIOTIC METABOLISM",0.882164511778607,0.582438557433536,-1.24370134363141,0.805743827739329
"MEDICUS ENV FACTOR ARSENIC TO ELECTRON TRANSFER IN COMPLEX IV",1.44897522813597,1.29352446920853,1.11213694850776,1.44844864364198
"MEDICUS ENV FACTOR BENZO A PYRENRE TO CYP MEDIATED METABOLISM",1.23890301976093,0.839568997813607,0.857357664388746,-0.658500823766912
"MEDICUS ENV FACTOR BPA TO RAS ERK SIGNALING PATHWAY",1.22300373058588,0.775380717310984,-0.71491485432411,1.01198801927347
"MEDICUS ENV FACTOR DCE TO DNA ADDUCTS",1.0400663605683,-0.955436186428166,-0.796466645224349,-1.77186362912288
"MEDICUS ENV FACTOR E2 TO RAS ERK SIGNALING PATHWAY",1.22300373058588,0.761656006008198,-0.71491485432411,0.927294649039385
"MEDICUS ENV FACTOR IRON TO ANTEROGRADE AXONAL TRANSPORT",-0.980080234314278,1.37418791015843,-0.638779657342465,1.3185055240008
"MEDICUS ENV FACTOR METALS TO JNK SIGNALING PATHWAY",0.771740670572777,-1.05373866862077,0.778175529826394,-0.959987176342773
"MEDICUS ENV FACTOR METALS TO KEAP1 NRF2 SIGNALIG PATHWAY",1.02416018192125,1.27741508614127,1.4619378272115,0.555327998403928
"MEDICUS ENV FACTOR METALS TO RAS ERK SIGNALING PATHWAY",1.22300373058588,0.969731593781608,-0.71491485432411,1.08031121807565
"MEDICUS ENV FACTOR NICOTINE NNK TO CAMP SIGNALING PATHWAY",0.906489041625166,-1.23357981875683,-0.932885906040269,-0.878560127758684
"MEDICUS ENV FACTOR NNK NNN TO CHRNA7 E2F SIGNALING PATHWAY",-0.90647223945112,-0.571609476377769,-1.07279297883325,0.635114457628342
"MEDICUS ENV FACTOR NNK NNN TO RAS ERK SIGNALING PATHWAY",1.24952981473035,0.871233496003597,-0.660738410099087,0.992574334783423
"MEDICUS ENV FACTOR NNK TO DNA ADDUCTS",1.26792079412333,0.679103756349547,1.02872863031423,-1.09142085289456
"MEDICUS ENV FACTOR PHIP TO DNA ADDUCTS",-0.927139695742428,1.05391777556739,-1.22262489673297,1.28261937510498
"MEDICUS ENV FACTOR TCDD TO AHR SIGNALING PATHWAY",1.0400663605683,-1.16629628568078,-0.796466645224349,-1.81679522934431
"MEDICUS ENV FACTOR ZN TO ANTEROGRADE AXONAL TRANSPORT",-0.980080234314278,1.27333924105927,-0.638779657342465,1.23880247236762
"MEDICUS PATHOGEN ARSENIC TO ELECTRON TRANSFER IN COMPLEX II",1.08432426158489,1.02128386466758,-1.06814661848219,0.819846087738762
"MEDICUS PATHOGEN EBV EBNA2 TO RBP JK MEDIATED TRANSCRIPTION",0.742936964721283,-1.09337891923192,-1.32834279814146,-0.912976404603821
"MEDICUS PATHOGEN EBV EBNA3C TO P53 MEDIATED TRANSCRIPTION",0.96012352838312,-0.868101296938681,0.900909642549178,0.857282127686669
"MEDICUS PATHOGEN ESCHERICHIA EAE TIR TCCP TO ACTIN SIGNALING PATHWAY",1.04902562206141,0.80241076223249,-1.14445590662001,0.677107029839656
"MEDICUS PATHOGEN ESCHERICHIA EAE TIR TO ACTIN SIGNALING PATHWAY",1.04902562206141,0.700254690751846,-1.14445590662001,0.677311684840397
"MEDICUS PATHOGEN ESCHERICHIA ESPG TO MICROTUBULE RHOA SIGNALING PATHWAY",-0.980080234314278,1.4647239836025,-0.638779657342465,1.36206789285344
"MEDICUS PATHOGEN ESCHERICHIA ESPT TO RAC SIGNALING PATHWAY",1.04902562206141,0.94366482568426,-1.14445590662001,1.21656724436949
"MEDICUS PATHOGEN ESCHERICHIA MAP TO CDC42 SIGNALING PATHWAY",1.04902562206141,1.12522151145647,-1.14445590662001,1.1861573884102
"MEDICUS PATHOGEN HBV HBX TO CREB MEDIATED TRANSCRIPTION",1.02424385389378,0.854327177551548,-0.779642198597182,1.2740445580451
"MEDICUS PATHOGEN HBV HBX TO RAS ERK SIGNALING PATHWAY",1.01888102431811,1.14460895324859,-0.822657499437508,1.3083028708177
"MEDICUS PATHOGEN HBV LHBS TO PKC ERK SIGNALING PATHWAY",1.46798308566093,1.09276385857963,-0.71491485432411,1.20329380811054
"MEDICUS PATHOGEN HCMV GB TO PDGFR RAS ERK SIGNALING PATHWAY",1.03441080638662,1.06781560880772,-0.822657499437508,1.29011913851456
"MEDICUS PATHOGEN HCMV UL33 TO GNAI AC PKA SIGNALING PATHWAY",0.968194170734423,0.866307112380968,-0.779642198597182,1.21466312051366
"MEDICUS PATHOGEN HCMV UL33 TO GNAS AC PKA SIGNALING PATHWAY",0.925736318488204,-0.865763105033115,-0.858196340785202,1.10233766979743
"MEDICUS PATHOGEN HCMV UL33 TO GNB G RHO SIGNALING PATHWAY",-0.87596063567847,1.04725071385302,-0.964183252622567,1.54923249546356
"MEDICUS PATHOGEN HCMV US27 TO CXCR4 GNB G PLCB PKC SIGNALING PATHWAY",1.29186276129343,-0.923399368556993,1.22373130038306,-0.744494998902728
"MEDICUS PATHOGEN HCMV US28 TO GNA12 13 RHO SIGNALING PATHWAY",1.15125646728384,-0.990006597792219,-1.5296889920985,0.660799033474378
"MEDICUS PATHOGEN HCMV US28 TO GNAQ PLCB G CALCINEURIN SIGNALING PATHWAY",1.22425632314491,-1.56703133364125,-1.06686124550762,-1.15364142122206
"MEDICUS PATHOGEN HCMV US28 TO GNB G PI3K NFKB SIGNALING PATHWAY",1.25059796965994,-0.853889393388568,-0.926204352696482,1.02534635932963
"MEDICUS PATHOGEN HCV CORE TO ERK SIGNALING PATHWAY",1.24649665637629,1.31038948234486,-0.563434993815352,1.43064375065965
"MEDICUS PATHOGEN HIV GP120 TO CXCR4 GNAQ PLCB G CALCINEURIN",1.08929290871176,-1.2628831581276,-1.06686124550762,-0.809570522268099
"MEDICUS PATHOGEN HIV GP120 TO CXCR4 GNB G RAC SIGNALING PATHWAY",-0.975705013049573,0.903294128944294,-0.926204352696482,1.16884118269029
"MEDICUS PATHOGEN HIV TAT NEF TO CROSSTALK BETWEEN EXTRINSIC AND INTRINSIC APOPTOTIC PATHWAYS",-1.29824414448402,-1.20199050229514,-0.946308724832215,-1.17686898179504
"MEDICUS PATHOGEN HIV TAT TO TLR2 4 NFKB SIGNALING PATHWAY",0.744624656264228,1.71921040604036,2.0149508135352,1.48715919819511
"MEDICUS PATHOGEN HPV E5 TO ANTIGEN PROCESSING AND PRESENTATION BY MHC CLASS I MOLECULES",0.853151606704673,-0.640173357623919,1.07432623614682,1.40637951051044
"MEDICUS PATHOGEN HPV E5 TO EGFR RAS ERK SIGNALING PATHWAY",1.03441080638662,1.00399545562496,-0.822657499437508,1.23721819204698
"MEDICUS PATHOGEN HPV E7 TO PP2A AKT SIGNALING PATYWAY",0.711699858279584,0.702520910945689,0.682922080399483,1.0077002830924
"MEDICUS PATHOGEN HSV GD TO HVEM NFKB SIGNALING PATHWAY",-0.923952463689053,-1.39656811847961,1.17061527680975,-0.698959683241325
"MEDICUS PATHOGEN HTLV 1 P12 TO ANTIGEN PROCESSING AND PRESENTATION BY MHC CLASS I MOLECULES",-0.876727519734595,-0.524295289728041,1.07432623614682,1.12352144258406
"MEDICUS PATHOGEN HTLV 1 P12 TO JAK STAT SIGNALING PATHWAY",-0.663662079348989,1.11161177859704,-0.972052009118901,1.01601016303005
"MEDICUS PATHOGEN HTLV 1 TAX TO NFY MEDIATED TRANSCRIPTION",-0.951082308598196,1.48413372029424,-0.97071241723035,1.58824036234815
"MEDICUS PATHOGEN HTLV 1 TAX TO SPINDLE ASSEMBLY CHECKPOINT SIGNALING",1.14188484461841,-1.02750531176589,-1.02736189984512,-1.18302912211185
"MEDICUS PATHOGEN KSHV MIR1 2 TO ANTIGEN PROCESSING AND PRESENTATION BY MHC CLASS I MOLECULES",0.86187158444386,-0.79601582460431,1.07432623614682,1.42560937425049
"MEDICUS PATHOGEN KSHV VGPCR TO GNB G ERK SIGNALING PATHWAY",1.16231675704544,1.0833676981457,-0.937979158168005,1.37580110783976
"MEDICUS PATHOGEN KSHV VGPCR TO GNB G PI3K AKT SIGNALING PATHWAY",0.680222272122873,0.754187339187055,-0.926204352696482,1.31894035120913
"MEDICUS PATHOGEN KSHV VGPCR TO GNB G PI3K JNK SIGNALING PATHWAY",1.20316012148411,-0.780461622309695,-0.926204352696482,1.24312523614234
"MEDICUS PATHOGEN SALMONELLA SIFA TO MICROTUBULE PLUS END DIRECTED TRANSPORT",0.969228570946693,1.22889657864753,-0.638779657342465,1.14247126963638
"MEDICUS PATHOGEN SALMONELLA SOPB TO ARNO ARF ACTB G SIGNALING PATHWAY",1.04902562206141,-0.688748575093502,-1.14445590662001,0.514323948186204
"MEDICUS PATHOGEN SALMONELLA SOPB TO RHOA SIGNALING PATHWAY",-1.69531099814725,1.47196866922477,-1.12784477225496,1.55837066802885
"MEDICUS PATHOGEN SALMONELLA SOPE TO RAC SIGNALING PATHWAY",1.04902562206141,0.598302378402444,-1.14445590662001,0.944908509944845
"MEDICUS PATHOGEN SARS COV 2 NSP1 TO TRANSLATION INITIATION",0.810609411117789,1.88670053845182,-0.59551641036124,1.97967235297713
"MEDICUS PATHOGEN SARS COV 2 S N TO LECTIN PATHWAY OF COAGULATION CASCADE",-0.98500735565906,1.33917600370605,-0.865968685003634,1.29150616008985
"MEDICUS PATHOGEN SARS COV 2 S TO ANGII AT1R NOX2 SIGNALING PATHWAY",1.31343989251371,-1.22808099975863,1.26496489198436,-0.919266163484879
"MEDICUS PATHOGEN SARS COV 2 S TO CLASSICAL PATHWAY OF COMPLEMENT CASCADE",1.04938431371552,0.944493480090481,-0.796592669075891,1.08276981717624
"MEDICUS PATHOGEN SHIGELLA FIMA TO CROSSTALK BETWEEN EXTRINSIC AND INTRINSIC APOPTOTIC PATHWAYS",-0.823853674444182,-0.78396253082714,1.16442700221869,0.831133969037527
"MEDICUS PATHOGEN SHIGELLA IPAA TO ITGA B RHOGEF RHOA SIGNALING PATHWAY",-1.69531099814725,1.50578380943069,-1.12784477225496,1.56339205997461
"MEDICUS PATHOGEN SHIGELLA IPAC TO ACTIN SIGNALING PATHWAY",0.94238380279046,0.919592148751527,-1.08367819444874,0.935615085475954
"MEDICUS PATHOGEN SHIGELLA IPGD TO ARNO ARF ACTB G SIGNALING PATHWAY",1.04902562206141,-0.780246859431311,-1.14445590662001,0.540251718456059
"MEDICUS PATHOGEN SHIGELLA OSPG TO TNF NFKB SIGNALING PATHWAY",1.04624310654769,-1.23679136617768,1.02570651346898,-0.79958382139601
"MEDICUS PATHOGEN YERSINIA YOPP J TO TLR2 4 MAPK SIGNALING PATHWAY",1.00694395176715,0.999043692253973,-0.642542853485376,1.25828053219665
"MEDICUS REFERENCE 26S PROTEASOME MEDIATED PROTEIN DEGRADATION",0.750602847404276,0.673952325539499,-0.813322126634946,1.38388487168871
