"Gene","n_outliers","n_normals","outlier_mean_rank","normal_mean_rank","outlier_mean_magnitude","normal_mean_magnitude","standard_effect_size","magnitude_effect_size","phylo_diversity_score","phylo_weighted_effect","phylo_weighted_magnitude","p_value","species_in_analysis","adj_p_value"
"FTL",2,16,2221.5,492.875,0.5,1.1875,1728.625,-0.6875,1.10472041726929,1909.64733130212,-0.759495286872635,0.0139625915255014,18,0.152028653231345
"GCC2",2,13,1994.5,383.846153846154,0.5,2.34615384615385,1610.65384615385,-1.84615384615385,1.10913739913054,1786.43641782268,-2.04763827531792,0.133670081080989,15,0.431411561309125
"GCOM1",2,13,2221.5,642.307692307692,0.5,1.03846153846154,1579.19230769231,-0.538461538461539,1.06422087500562,1680.60941949445,-0.57304200961841,0.00625146899775983,15,0.0897680644672169
"SUN1",2,21,2221.5,901.714285714286,0.5,1.14285714285714,1319.78571428571,-0.642857142857143,1.20154133298798,1585.77708640135,-0.772419428349413,0.00919515443156874,23,0.115546657574052
"HMGA2",2,35,2221.5,687.571428571429,0.5,2.56666666666667,1533.92857142857,-2.06666666666667,1.02499769510134,1572.27325016438,-2.11832856987611,0.0125181963963462,37,0.141307098304518
"DNPEP",2,10,2221.5,866.7,0.5,1.4,1354.8,-0.9,1.11530532378078,1511.0156526582,-1.0037747914027,0.00981321421196524,12,0.120287128806789
"OR10H1",3,87,2026,582.022988505747,0.5,1.7911877394636,1443.97701149425,-1.2911877394636,0.922118990276514,1331.51862382158,-1.19062873457159,0.018401090315042,90,0.175073230711686
"OR52N2",2,24,2221.5,645.166666666667,0.5,1.03472222222222,1576.33333333333,-0.534722222222222,0.833040810925408,1313.14999828875,-0.445445433619836,0.0253995746369864,26,0.206649720343207
"AMY1C",2,39,1510,457.923076923077,0.75,1.97008547008547,1052.07692307692,-1.22008547008547,1.24107263809745,1305.70388240453,-1.51421469306334,0.0307090461665209,41,0.225201918812117
"FNBP1",3,40,1965.33333333333,784.35,0.5,1.1,1180.98333333333,-0.6,1.0946212158013,1292.72941217441,-0.656772729480783,0.0427227029404693,43,0.25827522080199
"PHACTR2",3,32,1703,646.59375,0.666666666666667,1.5,1056.40625,-0.833333333333333,1.20089039092109,1268.62811453398,-1.00074199243424,0.0275879935245533,35,0.215924542430672
"CCDC34",2,23,2221.5,790.434782608696,0.5,1.23913043478261,1431.0652173913,-0.739130434782609,0.85278819002919,1220.39551655286,-0.63032170567375,0.0262002496678311,25,0.211081043694865
"DEFB105A",2,27,1642,553.407407407407,1,1.40123456790123,1088.59259259259,-0.401234567901235,1.11595140768238,1214.81643609631,-0.447758280860213,0.244247558228278,29,0.536046762025366
"DEFB105B",2,27,1642,553.407407407407,1,1.40123456790123,1088.59259259259,-0.401234567901235,1.11595140768238,1214.81643609631,-0.447758280860213,0.244247558228278,29,0.536046762025366
"ITLN1",2,77,1587.5,522.220779220779,0.75,2.57792207792208,1065.27922077922,-1.82792207792208,1.14030609032957,1214.74438335608,-2.08439067810242,0.396548659905622,79,0.644936282044308
"ITGA6",3,30,1683.33333333333,598.9,0.666666666666667,1.98333333333333,1084.43333333333,-1.31666666666667,1.11563061843463,1209.8270303178,-1.4689136476056,0.0961060229046343,33,0.380237294581107
"ERBIN",2,55,2221.5,890.363636363636,0.5,1.27272727272727,1331.13636363636,-0.772727272727273,0.908052535412059,1208.74174997919,-0.701676959182046,0.038017282924203,57,0.248935000030644
"NELL1",2,42,1544,511.809523809524,0.5,1.75,1032.19047619048,-1.25,1.15393102407104,1191.07661322685,-1.4424137800888,0.017351230211069,44,0.169111014447395
"CHURC1",2,52,1737,596.903846153846,0.75,1.28205128205128,1140.09615384615,-0.532051282051282,1.04272389424935,1188.80550135716,-0.55478258476087,0.184659837047018,54,0.487707011791066
"NPAS1",3,5,1511.66666666667,463.2,0.833333333333333,1,1048.46666666667,-0.166666666666667,1.13121773397403,1186.04408681397,-0.188536288995672,0.0668005614530377,8,0.324811534774113
"PRIM2",2,50,1724.5,791.86,0.75,0.923333333333333,932.64,-0.173333333333333,1.26143975133602,1176.46916968602,-0.218649556898243,0.376087958669651,52,0.631183319128065
