"gene","trait","estimate_longevity","std_error_longevity","p_value_longevity","n_species","n_nonzero_species","n_zeros_excluded","n_total_species","mean_copy_number","copy_number_range","status","adjusted_p_longevity"
"TSPAN6","maximum_longevity_y",0.0755422014739977,0.156021187206172,0.628258752386964,344,344,19,363,1.02616279069767,"1 - 4","success",0.999993213635889
"TNMD","maximum_longevity_y",0.00423551604610881,0.155598671956406,0.978283647807964,345,345,18,363,1.00579710144928,"1 - 2","success",0.999993213635889
"DPM1","maximum_longevity_y",-0.0884666063917206,0.151424175498226,0.559065312255237,354,354,9,363,1.03672316384181,"1 - 3","success",0.999993213635889
"SCYL3","maximum_longevity_y",-0.0562571970791856,0.150807063635187,0.709118031645299,348,348,15,363,1.03735632183908,"1 - 4","success",0.999993213635889
"C1orf112","maximum_longevity_y",-0.0114613915732107,0.154903372981863,0.941017874815903,340,340,23,363,1.01764705882353,"1 - 2","success",0.999993213635889
"FGR","maximum_longevity_y",0.00879873457523496,0.155320271662683,0.954824818751798,343,343,20,363,1.01166180758017,"1 - 2","success",0.999993213635889
"CFH","maximum_longevity_y",-0.0120426640074635,0.182528423244481,0.947396196963818,251,251,112,363,1.93625498007968,"1 - 10","success",0.999993213635889
"FUCA2","maximum_longevity_y",-0.0045004184969316,0.157369536800187,0.977185387201881,337,337,26,363,1.01483679525223,"1 - 2","success",0.999993213635889
"GCLC","maximum_longevity_y",-0.0148399960146634,0.150770788151151,0.921592816399265,351,351,12,363,1.05413105413105,"1 - 3","success",0.999993213635889
"NFYA","maximum_longevity_y",0.0747765817290678,0.148425086086185,0.614401817097894,353,353,10,363,1.11331444759207,"1 - 4","success",0.999993213635889
"STPG1","maximum_longevity_y",-0.0352468778384221,0.151703468589202,0.816273465862855,350,350,13,363,1.03142857142857,"1 - 2","success",0.999993213635889
"NIPAL3","maximum_longevity_y",-0.0827030603403289,0.151460013786379,0.585039193290016,350,350,13,363,1.03428571428571,"1 - 2","success",0.999993213635889
"LAS1L","maximum_longevity_y",-0.170365184251437,0.150881455256689,0.258841860696478,337,337,26,363,1.08605341246291,"1 - 4","success",0.999993213635889
"ENPP4","maximum_longevity_y",0.0493474838080738,0.154568857371087,0.749530194061902,347,347,16,363,1.03170028818444,"1 - 2","success",0.999993213635889
"SEMA3F","maximum_longevity_y",0.0860967872851182,0.150176250287914,0.566438236111919,339,339,24,363,1.08554572271386,"1 - 2","success",0.999993213635889
"CFTR","maximum_longevity_y",-0.204961129468706,0.144298891881405,0.155493312609592,338,338,25,363,1.10355029585799,"1 - 3","success",0.999993213635889
"ANKIB1","maximum_longevity_y",-0.0235265606915137,0.158557401859276,0.882043811736814,340,340,23,363,1.00882352941176,"1 - 2","success",0.999993213635889
"CYP51A1","maximum_longevity_y",-0.0649644077390808,0.153553936411165,0.672242555873446,346,346,17,363,1.01734104046243,"1 - 2","success",0.999993213635889
"KRIT1","maximum_longevity_y",-0.157977658299028,0.148311770101773,0.286797755630352,345,345,18,363,1.07826086956522,"1 - 5","success",0.999993213635889
"RAD52","maximum_longevity_y",0.0377963444398619,0.162958283915952,0.81658556895681,300,300,63,363,1.06333333333333,"1 - 4","success",0.999993213635889
"BAD","maximum_longevity_y",-0.0189022794760242,0.151288176256613,0.900569299396288,349,349,14,363,1.03724928366762,"1 - 3","success",0.999993213635889
"LAP3","maximum_longevity_y",-0.0200281108367067,0.15409269877765,0.89658665621371,346,346,17,363,1.01156069364162,"1 - 2","success",0.999993213635889
"CD99","maximum_longevity_y",0.0505716411278848,0.190273386917594,0.790405488345687,247,247,116,363,1.11740890688259,"1 - 4","success",0.999993213635889
"HS3ST1","maximum_longevity_y",0.00507786152649613,0.156367686951971,0.974094166055404,332,332,31,363,1.00602409638554,"1 - 2","success",0.999993213635889
"AOC1","maximum_longevity_y",-0.208127069981043,0.15579223985578,0.181573113113091,312,312,51,363,1.08333333333333,"1 - 3","success",0.999993213635889
"WNT16","maximum_longevity_y",0.00839890726215403,0.154476033206308,0.956640146197542,348,348,15,363,1.01149425287356,"1 - 2","success",0.999993213635889
"HECW1","maximum_longevity_y",-0.0837450904108035,0.150735094871713,0.578499429453629,336,336,27,363,1.05952380952381,"1 - 2","success",0.999993213635889
"MAD1L1","maximum_longevity_y",-0.132732606709156,0.156748731685722,0.397114501236238,316,316,47,363,1.07594936708861,"1 - 2","success",0.999993213635889
"LASP1","maximum_longevity_y",0.00904760560476233,0.154983353826345,0.953447603222346,348,348,15,363,1.00287356321839,"1 - 2","success",0.999993213635889
"SNX11","maximum_longevity_y",-0.062287147436509,0.153362766767334,0.684637852337515,354,354,9,363,1.01694915254237,"1 - 2","success",0.999993213635889
"TMEM176A","maximum_longevity_y",0.0697356585522999,0.165330782536218,0.673174827182551,306,306,57,363,1.05228758169935,"1 - 2","success",0.999993213635889
"M6PR","maximum_longevity_y",0.0235505943245334,0.153515626796336,0.878076181797614,355,355,8,363,1.0112676056338,"1 - 4","success",0.999993213635889
"KLHL13","maximum_longevity_y",-0.178959419094927,0.148331069103201,0.227629995880499,338,338,25,363,1.10650887573965,"1 - 4","success",0.999993213635889
"CYP26B1","maximum_longevity_y",-0.0226091919011404,0.15624159407474,0.884942517636187,345,345,18,363,1.02028985507246,"1 - 2","success",0.999993213635889
"ICA1","maximum_longevity_y",-0.151011253981179,0.1557166042897,0.332154865783257,282,282,81,363,1.08510638297872,"1 - 3","success",0.999993213635889
"DBNDD1","maximum_longevity_y",-0.0538652666332679,0.1513278839676,0.721877483916072,352,352,11,363,1.05397727272727,"1 - 3","success",0.999993213635889
"ALS2","maximum_longevity_y",-0.130235218122802,0.151224440910548,0.389125243284291,331,331,32,363,1.06344410876133,"1 - 3","success",0.999993213635889
"CASP10","maximum_longevity_y",-0.0631273373847961,0.192851856616799,0.743413837201199,255,255,108,363,1.06274509803922,"1 - 3","success",0.999993213635889
"CFLAR","maximum_longevity_y",-0.0684381472472817,0.155166182367958,0.659166990508192,339,339,24,363,1.05014749262537,"1 - 4","success",0.999993213635889
"TFPI","maximum_longevity_y",-0.0279312361913046,0.153973685734524,0.856051530991021,324,324,39,363,1.04938271604938,"1 - 6","success",0.999993213635889
"NDUFAF7","maximum_longevity_y",-0.04589799861437,0.152521190391902,0.763468889330727,352,352,11,363,1.02556818181818,"1 - 3","success",0.999993213635889
"RBM5","maximum_longevity_y",-0.0573229982872066,0.148276166441217,0.699055192613972,359,359,4,363,1.05849582172702,"1 - 4","success",0.999993213635889
"MTMR7","maximum_longevity_y",0.0393436734886642,0.150986010125936,0.79441774801009,338,338,25,363,1.09171597633136,"1 - 3","success",0.999993213635889
"SLC7A2","maximum_longevity_y",-0.0683556328066611,0.156064259029997,0.661388664641633,332,332,31,363,1.05722891566265,"1 - 3","success",0.999993213635889
"ARF5","maximum_longevity_y",0.34802367465167,0.170456572333391,0.0411798483612589,354,354,9,363,1.22881355932203,"1 - 5","success",0.999993213635889
"SARM1","maximum_longevity_y",0.00384773553805913,0.154356399784827,0.98011270756212,335,335,28,363,1.00298507462687,"1 - 2","success",0.999993213635889
"POLDIP2","maximum_longevity_y",-0.00385349663514227,0.154726661229529,0.980130588842804,350,350,13,363,1.02,"1 - 2","success",0.999993213635889
"PLXND1","maximum_longevity_y",-0.000884381036158417,0.164476818030402,0.995709847850078,315,315,48,363,1.03174603174603,"1 - 3","success",0.999993213635889
"AK2","maximum_longevity_y",-0.11852524974787,0.150190343292021,0.430014456852987,354,354,9,363,1.03672316384181,"1 - 3","success",0.999993213635889
"CD38","maximum_longevity_y",-0.0449219950445825,0.160996099490898,0.780225360855044,332,332,31,363,1.03915662650602,"1 - 5","success",0.999993213635889
"FKBP4","maximum_longevity_y",-0.00901449683109702,0.154017493453878,0.953327227445359,344,344,19,363,1.01744186046512,"1 - 3","success",0.999993213635889
"KDM1A","maximum_longevity_y",-0.193859082777275,0.149175138825735,0.193758622848782,345,345,18,363,1.06376811594203,"1 - 4","success",0.999993213635889
"RBM6","maximum_longevity_y",-0.0706935146382425,0.154717330631977,0.647728213882187,329,329,34,363,1.04255319148936,"1 - 2","success",0.999993213635889
"CAMKK1","maximum_longevity_y",0.036554245464106,0.157063567633815,0.815966912176306,323,323,40,363,1.11455108359133,"1 - 3","success",0.999993213635889
"RECQL","maximum_longevity_y",-0.0276197995429373,0.151418825970188,0.855263613883782,343,343,20,363,1.04081632653061,"1 - 3","success",0.999993213635889
"VPS50","maximum_longevity_y",-0.120294953275946,0.15408507676345,0.434976158843799,332,332,31,363,1.05120481927711,"1 - 2","success",0.999993213635889
"HSPB6","maximum_longevity_y",0.00913920219320136,0.152422976994725,0.952187908164263,351,351,12,363,1.01139601139601,"1 - 2","success",0.999993213635889
"ARHGAP33","maximum_longevity_y",-0.0840759382969889,0.153991348568337,0.585080837692009,340,340,23,363,1.03235294117647,"1 - 3","success",0.999993213635889
"NDUFAB1","maximum_longevity_y",0.0957194793393496,0.154928162368463,0.536686500256804,337,337,26,363,1.06824925816024,"1 - 2","success",0.999993213635889
"PDK4","maximum_longevity_y",0.0726748145438301,0.152846740900536,0.634448399675887,352,352,11,363,1.04545454545455,"1 - 2","success",0.999993213635889
"SLC22A16","maximum_longevity_y",-0.0327115833155046,0.163387045404885,0.841317002606824,300,300,63,363,1.02666666666667,"1 - 2","success",0.999993213635889
"ZMYND10","maximum_longevity_y",-0.0180949196908357,0.154976069452187,0.907050682921133,348,348,15,363,1.00574712643678,"1 - 2","success",0.999993213635889
"ABCB5","maximum_longevity_y",0.00456902475017246,0.178168033065672,0.979540915918335,263,263,100,363,1.00760456273764,"1 - 2","success",0.999993213635889
"ARX","maximum_longevity_y",0.00250030923512894,0.20348431973763,0.990196257190009,206,206,157,363,1.00970873786408,"1 - 2","success",0.999993213635889
"SLC25A13","maximum_longevity_y",-0.145463205474307,0.150755605891818,0.334597820972596,345,345,18,363,1.05217391304348,"1 - 2","success",0.999993213635889
"ST7","maximum_longevity_y",-0.453843256755697,0.128901786696745,0.000430173416990712,353,353,10,363,1.30878186968839,"1 - 7","success",0.0954575296750819
"CDC27","maximum_longevity_y",-0.0748490280965006,0.148988319882169,0.615398942175603,340,340,23,363,1.1,"1 - 3","success",0.999993213635889
"SLC4A1","maximum_longevity_y",-0.0124331924414314,0.154417636961655,0.935826346137743,335,335,28,363,1.00298507462687,"1 - 2","success",0.999993213635889
"CALCR","maximum_longevity_y",-0.0292329933654547,0.156917961503755,0.852213619512945,339,339,24,363,1.02064896755162,"1 - 2","success",0.999993213635889
"HCCS","maximum_longevity_y",-0.0172445398896676,0.153351477621355,0.910465752978356,351,351,12,363,1.01424501424501,"1 - 2","success",0.999993213635889
"DVL2","maximum_longevity_y",0.0258720358820903,0.154654771275661,0.867142690192393,332,332,31,363,1.03915662650602,"1 - 2","success",0.999993213635889
"PRSS22","maximum_longevity_y",0.0406134941860543,0.159623193421707,0.79916064205854,336,336,27,363,1.03571428571429,"1 - 2","success",0.999993213635889
"UPF1","maximum_longevity_y",0.0108325056420322,0.157105666437692,0.945029064579077,334,334,29,363,1.02095808383234,"1 - 2","success",0.999993213635889
"SKAP2","maximum_longevity_y",0.013623136423198,0.153103567946501,0.929097903649966,348,348,15,363,1.03735632183908,"1 - 6","success",0.999993213635889
"SLC25A5","maximum_longevity_y",0.00758870118868228,0.175389578725982,0.965488150067192,286,286,77,363,1.02797202797203,"1 - 2","success",0.999993213635889
"MCUB","maximum_longevity_y",-0.0215181785657053,0.161488036528335,0.89399617007991,330,330,33,363,1.01515151515152,"1 - 2","success",0.999993213635889
"HOXA11","maximum_longevity_y",0.00595299777027628,0.162478212930197,0.970773050417753,312,312,51,363,1.00320512820513,"1 - 2","success",0.999993213635889
"POLR2J","maximum_longevity_y",0.0179373850936007,0.172875096969889,0.917360430030453,271,271,92,363,1.02583025830258,"1 - 3","success",0.999993213635889
"DHX33","maximum_longevity_y",0.080945530234749,0.156343834163119,0.60463935764537,336,336,27,363,1.03571428571429,"1 - 3","success",0.999993213635889
"MEOX1","maximum_longevity_y",-0.0353485557003299,0.154946751157059,0.81954240203144,349,349,14,363,1.01432664756447,"1 - 2","success",0.999993213635889
"THSD7A","maximum_longevity_y",-0.121389351216491,0.151787427421368,0.423865751326491,335,335,28,363,1.07761194029851,"1 - 2","success",0.999993213635889
"LIG3","maximum_longevity_y",-0.0885148205774586,0.149152240304112,0.552878135420218,355,355,8,363,1.04225352112676,"1 - 3","success",0.999993213635889
"RPAP3","maximum_longevity_y",-0.0695488537840685,0.151135225982689,0.6453896586356,337,337,26,363,1.06528189910979,"1 - 2","success",0.999993213635889
"ACSM3","maximum_longevity_y",0.0553815905415477,0.16550039473538,0.737903329752645,303,303,60,363,1.04290429042904,"1 - 3","success",0.999993213635889
"REXO5","maximum_longevity_y",-0.0280997952932537,0.166707507519208,0.86614473772727,281,281,82,363,1.02491103202847,"1 - 2","success",0.999993213635889
"CIAPIN1","maximum_longevity_y",0.0674362629252845,0.154088200408679,0.661642080760784,350,350,13,363,1.06857142857143,"1 - 4","success",0.999993213635889
"SPPL2B","maximum_longevity_y",-0.0222018729728049,0.154629308463478,0.885831129288936,337,337,26,363,1.02967359050445,"1 - 2","success",0.999993213635889
