"","pathway","pval","padj","log2err","ES","NES","size"
"1","HALLMARK_ADIPOGENESIS",0.297619047619048,0.701142078260722,0.287857117255149,-0.280018577202149,-1.07541985928164,191
"2","HALLMARK_ALLOGRAFT_REJECTION",0.423050417696997,0.811305972049208,0.203508959461977,-0.274242463575679,-1.05579957414081,196
"3","HALLMARK_ANDROGEN_RESPONSE",0.00413799886099567,0.0486239886552888,0.407017918923954,-0.441846832030082,-1.51670458940478,96
"4","HALLMARK_ANGIOGENESIS",0.575851393188854,0.90986473498542,0.0956031492204301,-0.323238597951655,-0.909620100606347,34
"5","HALLMARK_APICAL_JUNCTION",0.00281589987135233,0.0354016072664054,0.431707695803346,-0.37355168633827,-1.43160993686558,192
"6","HALLMARK_APICAL_SURFACE",0.405940594059406,0.795277431421446,0.122107920287081,-0.349178608703055,-1.01898991974502,41
"7","HALLMARK_APOPTOSIS",3.31329309283798e-05,0.000886682412912891,0.557332238758646,-0.458050607028286,-1.70489887518859,157
"8","HALLMARK_BILE_ACID_METABOLISM",0.000863570041131339,0.0139155361724239,0.477270815362862,-0.464044789693121,-1.6388644366456,110
"9","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0789494037266059,0.375880703194473,0.287805130535564,-0.390610969806091,-1.28460210702563,74
"10","HALLMARK_COAGULATION",1,1,0.11331290842208,-0.199091284027018,-0.731224088644988,134
"11","HALLMARK_COMPLEMENT",0.0413257817999965,0.25011379153391,0.321775918075361,-0.324697529224779,-1.2444517720977,195
"12","HALLMARK_DNA_REPAIR",0.994324631101022,1,0.0172342687658066,0.219089305797307,0.623530292456811,148
"13","HALLMARK_E2F_TARGETS",1,1,0.0135373162884418,0.204582189413197,0.595744623325296,200
"14","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.000207901913759497,0.00445099097185105,0.518848077743792,-0.403037539473638,-1.54188011406446,194
"15","HALLMARK_ESTROGEN_RESPONSE_EARLY",5.19018063490602e-07,2.26349544355624e-05,0.659444398037935,-0.478309870127934,-1.82984562200875,194
"16","HALLMARK_ESTROGEN_RESPONSE_LATE",0.0337673877441476,0.215507312025657,0.321775918075361,-0.338809609049256,-1.30437510035825,196
"17","HALLMARK_FATTY_ACID_METABOLISM",0.0125147286297842,0.111637067890689,0.380730400722792,-0.371410359987474,-1.37807422861389,153
"18","HALLMARK_G2M_CHECKPOINT",0.670588235294118,0.954220721521237,0.186432558434075,-0.2471341488285,-0.951435914361153,196
"19","HALLMARK_GLYCOLYSIS",0.805194805194805,0.996287643708908,0.178219874951973,-0.235880747487969,-0.903297171340213,193
"20","HALLMARK_HEDGEHOG_SIGNALING",0.0156525000047455,0.131214756284661,0.352487857583619,-0.562290576057235,-1.59047659611389,35
"21","HALLMARK_HEME_METABOLISM",0.0051859672348853,0.0582041161423637,0.407017918923954,-0.367995070830423,-1.41329625785183,191
"22","HALLMARK_HYPOXIA",0.00934662659022864,0.0917137734166185,0.380730400722792,-0.34959280134614,-1.33875355212267,193
"23","HALLMARK_IL2_STAT5_SIGNALING",0.165503018961646,0.550632730187815,0.249246554383295,-0.289866490067223,-1.10892741493016,194
"24","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.123342195440051,0.474798387096774,0.287805130535564,-0.360709939495011,-1.20843326252653,85
"25","HALLMARK_INFLAMMATORY_RESPONSE",0.104908285944927,0.440871242644007,0.287805130535564,-0.302166522722302,-1.15809832482604,195
"26","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.75,0.98479740832903,0.11146266692298,-0.263710756670232,-0.891591281284974,92
"27","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.154464823560569,0.531043298518451,0.249246554383295,-0.28974300299587,-1.10956081752767,193
"28","HALLMARK_KRAS_SIGNALING_DN",0.148716827022328,0.524380301182532,0.249246554383295,-0.298380256639583,-1.1459384474199,191
"29","HALLMARK_KRAS_SIGNALING_UP",0.185184346143747,0.568799911890358,0.249246554383295,-0.291234660285512,-1.11620032943854,195
"30","HALLMARK_MITOTIC_SPINDLE",1.04193186355882e-07,5.57670349700231e-06,0.704975715167238,-0.488472636996765,-1.87579275268764,197
"31","HALLMARK_MTORC1_SIGNALING",1,1,0.0135373162884418,0.200633301338516,0.584758649633314,195
"32","HALLMARK_MYC_TARGETS_V1",0.102508178844057,0.432628604261207,0.142056643575821,0.422306493267864,1.22928882593365,196
"33","HALLMARK_MYC_TARGETS_V2",1,1,0.0271669768425399,0.192603409043589,0.494946135223657,55
"34","HALLMARK_MYOGENESIS",0.0068490811437778,0.0716870493048743,0.407017918923954,-0.348965985134258,-1.34007069438708,197
"35","HALLMARK_NOTCH_SIGNALING",0.373134328358209,0.775579296808104,0.120985142145252,-0.404653971046829,-1.06135711356214,27
"36","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.744565217391304,0.983469726636747,0.0309900819310557,0.297456625970278,0.866994480882041,199
"37","HALLMARK_P53_PATHWAY",0.0488491354715402,0.279705556050434,0.321775918075361,-0.319281513866461,-1.22145896797113,194
"38","HALLMARK_PANCREAS_BETA_CELLS",0.00133231418406812,0.0199847127610218,0.45505986738723,-0.604831467837722,-1.74522684725714,40
"39","HALLMARK_PEROXISOME",0.0122329253430117,0.110802073779971,0.380730400722792,-0.406729267210586,-1.39489978340487,102
