"","pathway","pval","padj","log2err","ES","NES","size"
"1","HALLMARK_ADIPOGENESIS",0.0252969632951202,0.289765215925922,0.352487857583619,-0.630597236750872,-1.53153426873074,13
"2","HALLMARK_ALLOGRAFT_REJECTION",0.235421166306695,0.877976611765351,0.0865399737444125,-0.413965678345416,-1.18784648166022,32
"3","HALLMARK_ANDROGEN_RESPONSE",0.31095406360424,0.894817240127047,0.147331213699377,0.498954575958827,1.11580137038441,5
"4","HALLMARK_ANGIOGENESIS",0.514195583596215,0.945225939833762,0.103576326612592,0.453542515358274,0.941443768856433,4
"5","HALLMARK_APICAL_JUNCTION",0.0840140023337223,0.53891163678795,0.16440575583821,-0.560454622796908,-1.39882077842534,15
"6","HALLMARK_APICAL_SURFACE",0.330815709969789,0.907711837511901,0.0862865626267245,-0.651340996168582,-1.1010820976112,3
"7","HALLMARK_APOPTOSIS",0.0617283950617284,0.451449402012434,0.199915231309662,-0.619414764150319,-1.44606070069122,11
"8","HALLMARK_BILE_ACID_METABOLISM",0.0628631323140219,0.456339775316603,0.287805130535564,0.517655783382548,1.45106880047547,9
"9","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.411764705882353,0.920294117647059,0.11331290842208,0.566666666666667,1.04249861018069,3
"10","HALLMARK_COAGULATION",0.245391705069124,0.884026793135481,0.0878312634480124,-0.457118062847375,-1.17515035960391,17
"11","HALLMARK_COMPLEMENT",0.3207343412527,0.906691310848978,0.0702812841717392,-0.39104701323525,-1.12208292410088,32
"12","HALLMARK_DNA_REPAIR",0.0466744457409568,0.390207214630558,0.224966093540314,-0.593763481456469,-1.481955294055,15
"13","HALLMARK_E2F_TARGETS",0.491248541423571,0.945225939833762,0.0535669384770951,-0.399128808006115,-0.996172833976972,15
"14","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.577102803738318,0.963258388674483,0.0462302524077616,-0.367379477316562,-0.925469396010554,16
"15","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.401041666666667,0.920294117647059,0.158514105424824,0.342002879825169,1.04186379940225,11
"16","HALLMARK_ESTROGEN_RESPONSE_LATE",0.914746543778802,0.97844998022934,0.0232958000490367,-0.248950449008149,-0.639997045518543,17
"17","HALLMARK_FATTY_ACID_METABOLISM",0.453917050691244,0.933946234352555,0.0566484183613995,-0.400016993156816,-1.02835602344784,17
"18","HALLMARK_G2M_CHECKPOINT",0.717002237136465,0.97844998022934,0.0341946045318573,-0.312168622373825,-0.837077976613276,21
"19","HALLMARK_GLYCOLYSIS",0.78538283062645,0.97844998022934,0.0315649069021069,-0.309545875517646,-0.766438816002017,14
"20","HALLMARK_HEDGEHOG_SIGNALING",0.198181818181818,0.787371007371007,0.130777137971974,0.900076569678407,1.21238613029944,1
"21","HALLMARK_HEME_METABOLISM",0.0264904268151924,0.292291220556745,0.352487857583619,-0.618137306442283,-1.54278914474163,15
"22","HALLMARK_HYPOXIA",0.194865810968495,0.777699752372002,0.102080107662747,-0.498478033600119,-1.24413539049552,15
