"Gene","n_outliers","n_normals","outlier_mean_rank","normal_mean_rank","outlier_mean_magnitude","normal_mean_magnitude","standard_effect_size","magnitude_effect_size","phylo_diversity_score","phylo_weighted_effect","phylo_weighted_magnitude","p_value","species_in_analysis","adj_p_value"
"SLC22A24",2,151,1317,414.615894039735,0.5,2.46688741721854,902.384105960265,-1.96688741721854,0.907708557373279,819.101775017768,-1.7853605399991,0.06325136772344,153,0.218047419763469
"SLC22A25",2,160,1021,425.3125,0.75,2.20364583333333,595.6875,-1.45364583333333,1.04588203530713,623.018854907017,-1.5203420627824,0.375879227531879,162,0.641104713799478
"KLK2",2,161,1193,588.012422360248,0.75,1.6092132505176,604.987577639752,-0.859213250517598,0.971461171406637,587.721940860377,-0.83469231083593,0.225711240081329,163,0.498127931024081
"HACL1",2,15,1139.5,650.333333333333,0.5,1.53333333333333,489.166666666667,-1.03333333333333,1.1812940582106,577.84967680802,-1.22067052681762,0.311873868415757,17,0.584810673337652
"NUP160",2,9,1193,552.444444444444,0.75,1.01851851851852,640.555555555556,-0.268518518518519,0.890740804398116,570.568970817237,-0.239180401180976,0.177475301974619,11,0.43179046932931
"OR4C13",2,178,828,311.724719101124,1.5,4.38951310861423,516.275280898876,-2.88951310861423,1.05436048254407,544.340254294117,-3.04658843551593,0.543842530744891,180,0.775989291062723
"OR10Q1",3,43,1061.66666666667,600.209302325581,0.666666666666667,1.4922480620155,461.457364341085,-0.825581395348837,1.17693247341964,543.104157191662,-0.971653553637146,0.215649106821046,46,0.486607181453707
"OR4P4",2,86,923.5,464.96511627907,0.75,2.20542635658915,458.53488372093,-1.45542635658915,1.12447437763218,515.610727994739,-1.63658964651506,0.525498713561449,88,0.768398510652527
"RPP40",2,128,1193,531.4453125,0.75,3,661.5546875,-2.25,0.762901158484496,504.700837494598,-1.71652760659012,0.208911772740516,130,0.481185445718468
"TMC5",2,46,1193,758.717391304348,0.75,1.2536231884058,434.282608695652,-0.503623188405797,1.09552934277986,475.769340885069,-0.551733980602898,0.284904787114062,48,0.567192186505451
"VN1R4",2,136,887,334.904411764706,0.75,4.80392156862745,552.095588235294,-4.05392156862745,0.853200680804708,471.048331751629,-3.45880864228183,0.48902475978815,138,0.737772342567226
"IGHG1",3,123,895.666666666667,483.219512195122,0.666666666666667,2.18563685636856,412.447154471545,-1.5189701897019,1.13772854204186,469.252899726223,-1.72817573933458,0.26147812344785,126,0.546593869255385
"ANXA9",2,4,967.5,622,0.75,1.25,345.5,-0.5,1.33242073610561,460.351364324489,-0.666210368052806,0.583486909692788,6,0.80541536979781
"ADGRE1",2,82,1193,738.780487804878,0.75,1.32723577235772,454.219512195122,-0.577235772357723,0.987322197096553,448.461006744613,-0.569917691006954,0.285297963542271,84,0.567192186505451
"FBLN7",2,21,1317,916,0.5,1.01587301587302,401,-0.515873015873016,1.10826594494533,444.414643923077,-0.571724495408305,0.0555235112973095,23,0.199664063495993
