"gene","trait","estimate_longevity","std_error_longevity","p_value_longevity","n_species","n_nonzero_species","n_zeros_excluded","n_total_species","mean_copy_number","copy_number_range","status","adjusted_p_longevity"
"TSPAN6","MLres",0.122928736923515,0.209434364573373,0.557233322022905,344,344,19,363,1.02616279069767,"1 - 4","success",0.999997530435179
"TNMD","MLres",0.0224290579691636,0.210107739479197,0.914987100539965,345,345,18,363,1.00579710144928,"1 - 2","success",0.999997530435179
"DPM1","MLres",-0.0980852607070111,0.205967231226667,0.633919223110411,354,354,9,363,1.03672316384181,"1 - 3","success",0.999997530435179
"SCYL3","MLres",-0.00943590441772211,0.2054920415747,0.963375138631073,348,348,15,363,1.03735632183908,"1 - 4","success",0.999997530435179
"C1orf112","MLres",0.0828584074618206,0.209716391048772,0.692770984309939,340,340,23,363,1.01764705882353,"1 - 2","success",0.999997530435179
"FGR","MLres",0.0117032091843413,0.21077407113605,0.955720293358464,343,343,20,363,1.01166180758017,"1 - 2","success",0.999997530435179
"CFH","MLres",-0.11454977476907,0.245159758553051,0.640324299825802,251,251,112,363,1.93625498007968,"1 - 10","success",0.999997530435179
"FUCA2","MLres",-0.00248009720864101,0.211364346578502,0.990638033816345,337,337,26,363,1.01483679525223,"1 - 2","success",0.999997530435179
"GCLC","MLres",-0.0306318892225085,0.204384820331306,0.880864338980963,351,351,12,363,1.05413105413105,"1 - 3","success",0.999997530435179
"NFYA","MLres",-0.0923233737136884,0.199650270642975,0.643776225299913,353,353,10,363,1.11331444759207,"1 - 4","success",0.999997530435179
"STPG1","MLres",-0.0194413767489367,0.207109496654604,0.925212393287555,350,350,13,363,1.03142857142857,"1 - 2","success",0.999997530435179
"NIPAL3","MLres",-0.0956376340307606,0.205947285410415,0.642376095270208,350,350,13,363,1.03428571428571,"1 - 2","success",0.999997530435179
"LAS1L","MLres",-0.168346821842629,0.205911123375327,0.413602584082802,337,337,26,363,1.08605341246291,"1 - 4","success",0.999997530435179
"ENPP4","MLres",0.0785896959332918,0.207337160270447,0.704655944598275,347,347,16,363,1.03170028818444,"1 - 2","success",0.999997530435179
"SEMA3F","MLres",0.15438148986527,0.208494735781455,0.459022442907557,339,339,24,363,1.08554572271386,"1 - 2","success",0.999997530435179
"CFTR","MLres",-0.211259041237489,0.201514421596285,0.294474187352262,338,338,25,363,1.10355029585799,"1 - 3","success",0.999997530435179
"ANKIB1","MLres",-0.0216815564295562,0.212321605873909,0.918664140209218,340,340,23,363,1.00882352941176,"1 - 2","success",0.999997530435179
"CYP51A1","MLres",-0.0557187481636955,0.208799684869924,0.789582618676293,346,346,17,363,1.01734104046243,"1 - 2","success",0.999997530435179
"KRIT1","MLres",-0.124632795735978,0.203719769351084,0.540679701389223,345,345,18,363,1.07826086956522,"1 - 5","success",0.999997530435179
"RAD52","MLres",0.104849115673839,0.216139226304427,0.627605487567708,300,300,63,363,1.06333333333333,"1 - 4","success",0.999997530435179
"BAD","MLres",-0.0259248435548042,0.205994897450322,0.899849179903624,349,349,14,363,1.03724928366762,"1 - 3","success",0.999997530435179
"LAP3","MLres",-0.0118356819163629,0.209161702370996,0.954874766821982,346,346,17,363,1.01156069364162,"1 - 2","success",0.999997530435179
"CD99","MLres",0.0978810132145392,0.254233116791307,0.700233734154844,247,247,116,363,1.11740890688259,"1 - 4","success",0.999997530435179
"HS3ST1","MLres",-0.00230916799962607,0.210796088687418,0.991259739884421,332,332,31,363,1.00602409638554,"1 - 2","success",0.999997530435179
"AOC1","MLres",-0.162488406199276,0.216027486802127,0.451951583810939,312,312,51,363,1.08333333333333,"1 - 3","success",0.999997530435179
"WNT16","MLres",0.0153412239117703,0.213151894159671,0.94262323581444,348,348,15,363,1.01149425287356,"1 - 2","success",0.999997530435179
"HECW1","MLres",-0.0687160034577022,0.203690005901665,0.735848705419866,336,336,27,363,1.05952380952381,"1 - 2","success",0.999997530435179
"MAD1L1","MLres",-0.134158713989288,0.212790958821312,0.528385900845934,316,316,47,363,1.07594936708861,"1 - 2","success",0.999997530435179
"LASP1","MLres",0.00342978372072161,0.210903460676194,0.987025102134241,348,348,15,363,1.00287356321839,"1 - 2","success",0.999997530435179
