"","pathway","pval","padj","log2err","ES","NES","size"
"1","HALLMARK_ADIPOGENESIS",1,1,0.191892240384838,-0.21193726496651,-0.774675982622139,191
"2","HALLMARK_ALLOGRAFT_REJECTION",0.687763713080169,0.944063718848791,0.0333826959919392,0.323089330993936,0.916833044324369,196
"3","HALLMARK_ANDROGEN_RESPONSE",0.0684745285364469,0.432387706855792,0.287805130535564,-0.354633225981871,-1.2016086679343,96
"4","HALLMARK_ANGIOGENESIS",0.806818181818182,0.984393390141707,0.0878312634480124,-0.279703138154487,-0.814868200824643,34
"5","HALLMARK_APICAL_JUNCTION",0.222972702532445,0.661654193588373,0.249246554383295,-0.298578094579759,-1.08566107361946,192
"6","HALLMARK_APICAL_SURFACE",0.292576419213974,0.731922556808176,0.170932335370056,-0.362251583919527,-1.08786296271676,41
"7","HALLMARK_APOPTOSIS",0.0730576962791943,0.436862772674573,0.287805130535564,-0.317991112247795,-1.15976996798447,157
"8","HALLMARK_BILE_ACID_METABOLISM",0.0534813830008579,0.376125786119466,0.321775918075361,-0.350170559265858,-1.21568566633734,110
"9","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.423076923076923,0.816637781629116,0.172324344900946,-0.312899517413783,-1.01696776744097,74
"10","HALLMARK_COAGULATION",0.831672203765227,0.992613835902166,0.0263245268606861,0.293273199711001,0.8126788329699,134
"11","HALLMARK_COMPLEMENT",0.823653643083421,0.989056056628206,0.024285888595648,0.297355409017227,0.843132626972383,195
"12","HALLMARK_DNA_REPAIR",0.647826086956522,0.921698872785829,0.0376142599562161,0.330537529150087,0.923338447535118,148
"13","HALLMARK_E2F_TARGETS",0.518008474576271,0.862431450554611,0.0466948041282054,0.349775665570107,0.991492633134115,200
"14","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0363111519662739,0.313366571547771,0.321775918075361,-0.335217731775742,-1.2211527332308,194
"15","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0025588069107203,0.0428454307950391,0.431707695803346,-0.38032590345569,-1.38547568490229,194
