"Predictor","Effect","Direction"
"Mass (log10)",0.140975493086767,"Positive impact on longevity"
"CES2",-0.0391653605196195,"Negative impact on longevity"
"ZNF304",0.0296375167074181,"Positive impact on longevity"
"SCD",-0.0265993103528239,"Negative impact on longevity"
"ZNF256",-0.0258087707386235,"Negative impact on longevity"
"MAGEA6",0.0252024586273853,"Positive impact on longevity"
"ZIK1",0.024475947499685,"Positive impact on longevity"
"ZNF416",-0.0232845132486782,"Negative impact on longevity"
"ZNF211",0.022616472885319,"Positive impact on longevity"
"SPANXA1",0.0210361404786181,"Positive impact on longevity"
"ZNF671",0.0194818783624337,"Positive impact on longevity"
"SPANXD",-0.0191619112486244,"Negative impact on longevity"
"SPANXA2",0.0189120980131887,"Positive impact on longevity"
"ZNF586",0.018797720606505,"Positive impact on longevity"
"ZNF419",0.017557170084438,"Positive impact on longevity"
"ZNF549",0.0173104812527804,"Positive impact on longevity"
"ZNF17",0.0166167342337158,"Positive impact on longevity"
"MAGEC2",0.014383207776379,"Positive impact on longevity"
"ZNF599",0.0133471355306384,"Positive impact on longevity"
"ZNF776",-0.0123455878465449,"Negative impact on longevity"
