gene_symbol	focal_species	n_neighbors
SPATA31D1	Myotis brandtii	5
SPATA31D1	Myotis davidii	5
LCE3A	Myotis myotis	5
LCE3A	Miniopterus schreibersii	5
TRIM51GP	Rhinolophus hipposideros	5
TRIM51GP	Myotis brandtii	5
DTNA	Ateles geoffroyi	5
HERC6	Myotis septentrionalis	5
CTU1	Rhinolophus hipposideros	5
TXLNG	Myotis brandtii	5
SPIN2B	Myotis brandtii	5
H4C13	Hylobates agilis	5
H4C13	Myotis davidii	5
TRIM49D1	Rhinolophus hipposideros	5
TRIM49B	Rhinolophus hipposideros	5
LGALS7B	Myotis brandtii	5
FPR3	Balaena mysticetus	5
BTNL3	Myotis myotis	5
BTNL8	Myotis myotis	5
KRTAP10-7	Myotis brandtii	5
