accession,organism_name,common_name,order,family,genus,scaffold_n50,contig_n50,max_lifespan,body_mass,LQ,protein_coding_count,submission_date,species_lower,activity,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO
GCF_019279795.1,Protopterus annectens,West African lungfish,Ceratodontiformes,Protopteridae,Protopterus,1974114035,1603140,,,,22039,2021-07-20,protopterus annectens,,,,,,,,,,,
GCF_037176945.1,Latimeria chalumnae,coelacanth,Coelacanthiformes,Coelacanthidae,Latimeria,188107785,42076942,48.0,52250.0,,19735,2024-03-18,latimeria chalumnae,,,,,,,,,,,
GCF_030867095.1,Alligator mississippiensis,American alligator,Crocodylia,Alligatoridae,Alligator,255078640,38556409,77.0,150000.0,0.1328425188417814,20269,2023-08-24,alligator mississippiensis,,,,,,,,,,,
GCF_033958435.1,Carettochelys insculpta,pitted-shelled turtle,Testudines,Carettochelyidae,Carettochelys,130115908,126464372,,,,18883,2023-11-27,carettochelys insculpta,,,,,,,,,,,
GCF_965140235.1,Caretta caretta,loggerhead turtle,Testudines,Cheloniidae,Caretta,137541926,124322749,37.0,156500.0,-0.1882747834484759,20304,2025-02-13,caretta caretta,,,,,,,,,,,
GCF_965140265.1,Lepidochelys kempii,Atlantic ridley,Testudines,Cheloniidae,Lepidochelys,136811586,59796335,,,,19286,2025-03-26,lepidochelys kempii,,,,,,,,,,,
GCF_965140285.1,Lepidochelys kempii,Atlantic ridley,Testudines,Cheloniidae,Lepidochelys,136730895,52784435,,,,19713,2025-03-26,lepidochelys kempii,,,,,,,,,,,
GCF_965152235.1,Eretmochelys imbricata,hawksbill sea turtle,Testudines,Cheloniidae,Eretmochelys,136542973,80323000,,,,18974,2025-04-10,eretmochelys imbricata,,,,,,,,,,,
GCF_015237465.2,Chelonia mydas,Green sea turtle,Testudines,Cheloniidae,Chelonia,134428053,39415510,75.0,160000.0,0.1171101033745016,19752,2021-07-15,chelonia mydas,,,,,,,,,,,
GCF_965152275.1,Natator depressus,flatback sea turtle,Testudines,Cheloniidae,Natator,134157645,77014821,,,,19872,2025-02-16,natator depressus,,,,,,,,,,,
GCF_023653815.2,Caretta caretta,loggerhead turtle,Testudines,Cheloniidae,Caretta,130956235,18214114,37.0,156500.0,-0.1882747834484759,20259,2022-06-07,caretta caretta,,,,,,,,,,,
GCF_009764565.3,Dermochelys coriacea,leatherback sea turtle,Testudines,Dermochelyidae,Dermochelys,137568771,7029801,30.0,420000.0,-0.3451743979540624,18775,2021-08-25,dermochelys coriacea,,,,,,,,,,,
GCF_028017835.1,Emys orbicularis,European pond turtle,Testudines,Emydidae,Emys,146456333,91255289,,,,19783,2023-01-30,emys orbicularis,,,,,,,,,,,
GCF_027887155.1,Malaclemys terrapin pileata,,Testudines,Emydidae,Malaclemys,144565223,75591180,,,,20938,2023-01-18,malaclemys terrapin pileata,,,,,,,,,,,
GCF_013100865.1,Trachemys scripta elegans,,Testudines,Emydidae,Trachemys,140411086,204575,,,,18662,2020-05-15,trachemys scripta elegans,,,,,,,,,,,
GCF_011386835.1,Chrysemys picta bellii,western painted turtle,Testudines,Emydidae,Chrysemys,133555881,13370154,,,,25216,2023-09-08,chrysemys picta bellii,,,,,,,,,,,
GCF_020497125.1,Mauremys mutica,yellowpond turtle,Testudines,Geoemydidae,Mauremys,135065811,15010728,,,,23281,2021-10-14,mauremys mutica,,,,,,,,,,,
