accession,organism_name,common_name,species_taxid,infraclass,order,family,genus,scaffold_n50,contig_n50,total_sequence_length,max_lifespan,body_mass,LQ,refseq_category,submission_date
GCA_047496885.1,Scyliorhinus torazame,cloudy catshark,75743,Selachii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,266286206,3187150,6451259511,,,,reference genome,2025-02-07
GCA_036971175.1,Narcine bancroftii,Caribbean electric ray,1343680,Chondrichthyes,Torpediniformes,Narcinidae,Narcine,258892457,5005593,3110263114,,,,,2024-03-06
GCA_052327205.1,Somniosus microcephalus,Greenland sleeper shark,191813,Selachii,Squaliformes,Somniosidae,Somniosus,240357632,1075145,6448606148,,,,reference genome,2025-08-28
GCA_902713615.2,Scyliorhinus canicula,smaller spotted catshark,7830,Selachii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,198790641,1862211,4220389930,12.0,726.0,0.0211234875469334,reference genome,2021-01-28
GCA_055471215.1,Potamotrygon marinae,,2803083,Chondrichthyes,Myliobatiformes,Potamotrygonidae,Potamotrygon,192842338,12999503,4335674344,,,,reference genome,2026-02-24
GCA_048418815.1,Hemitrygon akajei,red stingray,2704970,Chondrichthyes,Myliobatiformes,Dasyatidae,Hemitrygon,175234968,8940806,4229631903,,,,reference genome,2025-03-05
GCA_017639515.1,Carcharodon carcharias,great white shark,13397,Selachii,Lamniformes,Lamnidae,Carcharodon,169918123,6544962,4286294447,50.0,1870000.0,0.1108639263063513,reference genome,2021-03-30
GCA_030144785.1,Hypanus sabinus,Atlantic stingray,79690,Chondrichthyes,Myliobatiformes,Dasyatidae,Hypanus,162574764,4909400,3635158545,,,,,2023-06-05
GCA_050613895.1,Squalus suckleyi,Puget Sound dogfish,7798,Selachii,Squaliformes,Squalidae,Squalus,153064829,2529731,4657981142,,,,reference genome,2025-05-29
GCA_963921235.1,Mobula hypostoma,lesser devil ray,723540,Chondrichthyes,Myliobatiformes,Myliobatidae,Mobula,152437164,23327000,3475679493,,,,reference genome,2024-01-06
GCA_030035685.1,Mobula birostris,giant manta,1983395,Chondrichthyes,Myliobatiformes,Myliobatidae,Mobula,152352395,8612779,3634101053,,,,,2023-05-22
GCA_055471155.1,Carcharias taurus,sand tiger shark,30501,Selachii,Lamniformes,Carchariidae,Carcharias,148992785,7024806,4806479161,12.0,87340.0,-0.3021476393275186,reference genome,2026-02-24
