accession,species,common_name,scaffold_n50,contig_n50,max_lifespan,body_mass,level,source,date
GCA_029692085.1,Gymnothorax javanicus,giant moray,133528002,24488841,,,Chromosome,GENBANK,2023-04-12
GCA_978019975.1,Kaupichthys nuchalis,collared eel,123633232,77495999,,,Chromosome,GENBANK,2026-01-29
GCA_022702515.1,Ilyophis sp. 1 JC-2022,,121130272,3455548,,,Chromosome,GENBANK,2022-03-28
GCA_022702525.1,Ilyophis sp. 2 JC-2022,,115311279,2769000,,,Chromosome,GENBANK,2022-03-28
GCA_022702415.1,Ilyophis sp. JC_2022_1,,115311279,2769000,,,Chromosome,GENBANK,2022-03-28
GCA_029721435.1,Gymnothorax reevesii,Reeve's moray,112885341,53379876,,,Chromosome,GENBANK,2023-04-18
GCA_978019965.1,Muraena helena,Mediterranean moray,107794592,55409183,,,Chromosome,GENBANK,2026-02-01
GCA_975146105.1,Myrichthys ocellatus,goldspotted eel,95401461,47180267,,,Chromosome,GENBANK,2025-10-09
GCA_978019835.1,Gymnothorax moringa,spotted moray,94562300,51686000,,,Chromosome,GENBANK,2026-02-01
GCA_029718625.1,Synaphobranchus kaupii,Kaup's arrowtooth eel,76846976,519789,,,Chromosome,GENBANK,2023-04-14
GCA_050084885.1,Anguilla japonica,Japanese eel,68637738,328041,,,Chromosome,GENBANK,2025-05-01
GCA_963514075.1,Conger conger,European conger,64882367,3090688,,,Chromosome,GENBANK,2023-09-29
GCA_039654925.2,Anguilla bicolor pacifica,Indian short-finned eel,61071980,16884858,,,Chromosome,GENBANK,2024-06-14
GCA_047653785.1,Conger myriaster,whitespotted conger,58402862,16603000,,,Chromosome,GENBANK,2025-02-11
GCA_013347855.1,Anguilla anguilla,European eel,57205429,5114673,88.0,3629.45,Chromosome,GENBANK,2020-06-18
GCF_018555375.3,Anguilla rostrata,American eel,56672075,5074093,50.0,4031.5,Chromosome,REFSEQ,2024-03-04
