accession,organism_name,common_name,order,family,genus,scaffold_n50,contig_n50,max_lifespan,body_mass,LQ,protein_coding_count,submission_date
GCF_019279795.1,Protopterus annectens,West African lungfish,Ceratodontiformes,Protopteridae,Protopterus,1974114035,1603140,,,,22039,2021-07-20
GCF_037176945.1,Latimeria chalumnae,coelacanth,Coelacanthiformes,Coelacanthidae,Latimeria,188107785,42076942,48.0,52250.0,,19735,2024-03-18
GCF_030867095.1,Alligator mississippiensis,American alligator,Crocodylia,Alligatoridae,Alligator,255078640,38556409,77.0,150000.0,0.13284251884178144,20269,2023-08-24
GCF_033958435.1,Carettochelys insculpta,pitted-shelled turtle,Testudines,Carettochelyidae,Carettochelys,130115908,126464372,,,,18883,2023-11-27
GCF_965140235.1,Caretta caretta,loggerhead turtle,Testudines,Cheloniidae,Caretta,137541926,124322749,37.0,156500.0,-0.18827478344847592,20304,2025-02-13
GCF_965140265.1,Lepidochelys kempii,Atlantic ridley,Testudines,Cheloniidae,Lepidochelys,136811586,59796335,,,,19286,2025-03-26
GCF_965140285.1,Lepidochelys kempii,Atlantic ridley,Testudines,Cheloniidae,Lepidochelys,136730895,52784435,,,,19713,2025-03-26
GCF_965152235.1,Eretmochelys imbricata,hawksbill sea turtle,Testudines,Cheloniidae,Eretmochelys,136542973,80323000,,,,18974,2025-04-10
GCF_015237465.2,Chelonia mydas,Green sea turtle,Testudines,Cheloniidae,Chelonia,134428053,39415510,75.0,160000.0,0.11711010337450167,19752,2021-07-15
GCF_965152275.1,Natator depressus,flatback sea turtle,Testudines,Cheloniidae,Natator,134157645,77014821,,,,19872,2025-02-16
GCF_023653815.2,Caretta caretta,loggerhead turtle,Testudines,Cheloniidae,Caretta,130956235,18214114,37.0,156500.0,-0.18827478344847592,20259,2022-06-07
GCF_009764565.3,Dermochelys coriacea,leatherback sea turtle,Testudines,Dermochelyidae,Dermochelys,137568771,7029801,30.0,420000.0,-0.34517439795406246,18775,2021-08-25
GCF_028017835.1,Emys orbicularis,European pond turtle,Testudines,Emydidae,Emys,146456333,91255289,,,,19783,2023-01-30
GCF_027887155.1,Malaclemys terrapin pileata,,Testudines,Emydidae,Malaclemys,144565223,75591180,,,,20938,2023-01-18
GCF_013100865.1,Trachemys scripta elegans,,Testudines,Emydidae,Trachemys,140411086,204575,,,,18662,2020-05-15
GCF_011386835.1,Chrysemys picta bellii,western painted turtle,Testudines,Emydidae,Chrysemys,133555881,13370154,,,,25216,2023-09-08
GCF_020497125.1,Mauremys mutica,yellowpond turtle,Testudines,Geoemydidae,Mauremys,135065811,15010728,,,,23281,2021-10-14
GCF_016161935.1,Mauremys reevesii,Reeves's turtle,Testudines,Geoemydidae,Mauremys,130473029,33352699,,,,22618,2020-12-22
GCF_025201925.1,Gopherus flavomarginatus,Mexican gopher tortoise,Testudines,Testudinidae,Gopherus,162938067,6917139,,,,20882,2022-09-15
GCF_003597395.2,Chelonoidis abingdonii,Abingdon island giant tortoise,Testudines,Testudinidae,Chelonoidis,148185065,119261,,,,19060,2025-04-29
GCF_007399415.2,Gopherus evgoodei,Goodes thornscrub tortoise,Testudines,Testudinidae,Gopherus,147425149,13026736,,,,20174,2019-07-25
GCF_049634645.1,Pelodiscus sinensis,Chinese soft-shelled turtle,Testudines,Trionychidae,Pelodiscus,129579767,107607917,,,,21463,2025-04-15
GCF_048569485.1,Anomaloglossus baeobatrachus,,Anura,Aromobatidae,Anomaloglossus,707508717,2835192,,,,23328,2025-03-13
GCF_040206685.1,Ascaphus truei,coastal tailed frog,Anura,Ascaphidae,Ascaphus,424004025,981472,,,,22575,2024-06-17
GCF_027579735.1,Bombina bombina,fire-bellied toad,Anura,Bombinatoridae,Bombina,1241340601,3759931,,,,22468,2023-01-09
GCF_905171765.1,Bufo bufo,common toad,Anura,Bufonidae,Bufo,635713434,3959750,,,,21517,2021-01-28
GCF_014858855.1,Bufo gargarizans,Asiatic toad,Anura,Bufonidae,Bufo,539822115,1738317,,,,22033,2020-10-21
GCF_051348905.1,Ranitomeya variabilis,Zimmermann's poison frog,Anura,Dendrobatidae,Ranitomeya,788740125,68175871,,,,24270,2025-07-15
GCF_032444005.1,Ranitomeya imitator,mimic poison frog,Anura,Dendrobatidae,Ranitomeya,725832262,13907627,,,,23747,2023-10-16
GCF_035609145.1,Eleutherodactylus coqui,Puerto Rican coqui,Anura,Eleutherodactylidae,Eleutherodactylus,277440397,10388966,,,,21776,2024-01-12
GCF_029499605.1,Hyla sarda,,Anura,Hylidae,Hyla,384967061,3809262,,,,22847,2023-04-07
GCF_027789765.1,Dendropsophus ebraccatus,hourglass treefrog,Anura,Hylidae,Dendropsophus,153439414,8808153,,,,22271,2023-01-13
GCF_040937935.1,Hyperolius riggenbachi,Riggenbach's reed frog,Anura,Hyperoliidae,Hyperolius,451034413,2674826,,,,24147,2024-07-30
GCF_031893055.1,Leptodactylus fuscus,rufous frog,Anura,Leptodactylidae,Leptodactylus,226021100,5334240,,,,20214,2023-09-26
GCF_040894005.1,Engystomops pustulosus,Tungara frog,Anura,Leptodactylidae,Engystomops,214838416,21805561,,,,21963,2024-07-30
GCF_038048845.1,Mixophyes fleayi,Fleay's barred frog,Anura,Limnodynastidae,Mixophyes,346624570,4050021,,,,21250,2024-04-17
GCF_028390025.1,Pseudophryne corroboree,corroboree frog,Anura,Myobatrachidae,Pseudophryne,846894890,6819095,,,,24591,2023-02-06
GCF_036172605.1,Pelobates fuscus,common spadefoot toad,Anura,Pelobatidae,Pelobates,387735018,29412599,,,,20977,2024-01-26
GCF_027358695.1,Spea bombifrons,plains spadefoot toad,Anura,Pelobatidae,Spea,114150385,21170366,,,,19086,2022-12-27
GCF_017654675.1,Xenopus laevis,African clawed frog,Anura,Pipidae,Xenopus,155250555,22451507,30.3,130.0,0.14305427117875635,34476,2021-04-12
GCF_000004195.4,Xenopus tropicalis,tropical clawed frog,Anura,Pipidae,Xenopus,153961319,14634335,,,,21826,2019-11-14
GCF_001663975.1,Xenopus laevis,African clawed frog,Anura,Pipidae,Xenopus,136570856,19713,30.3,130.0,0.14305427117875635,31332,2016-08-09
GCF_032062135.1,Pyxicephalus adspersus,,Anura,Pyxicephalidae,Pyxicephalus,147930044,79604,,,,19416,2023-09-27
GCF_042186555.1,Aquarana catesbeiana,American bullfrog,Anura,Ranidae,Aquarana,691824178,3396515,,,,24438,2024-09-24
GCF_905171775.1,Rana temporaria,common frog,Anura,Ranidae,Rana,481763206,6264810,,,,23707,2021-01-28
GCF_050947455.1,Rhinoderma darwinii,,Anura,Rhinodermatidae,Rhinoderma,410882874,8675653,,,,20964,2025-06-17
GCF_040938575.1,Ambystoma mexicanum,axolotl,Caudata,Ambystomatidae,Ambystoma,1489131749,23068610,,,,24121,2024-07-30
GCF_964261635.1,Lissotriton helveticus,palmate newt,Caudata,Salamandridae,Lissotriton,2132484007,7795245,,,,26911,2024-10-17
GCF_031143425.1,Pleurodeles waltl,Iberian ribbed newt,Caudata,Salamandridae,Pleurodeles,1360680797,20474000,,,,22339,2024-03-19
GCF_902459505.2,Geotrypetes seraphini,Gabon caecilian,Gymnophiona,Dermophiidae,Geotrypetes,272612222,20656571,,,,19212,2021-04-24
GCF_901001135.2,Rhinatrema bivittatum,two-lined caecilian,Gymnophiona,Rhinatrematidae,Rhinatrema,486875112,3216284,,,,21544,2021-04-24
GCF_901765095.2,Microcaecilia unicolor,,Gymnophiona,Siphonopidae,Microcaecilia,376147139,3661507,,,,20858,2021-04-24
GCF_036417845.1,Apteryx mantelli,North Island brown kiwi,Apterygiformes,Apterygidae,Apteryx,88095958,19797665,,,,17430,2024-02-06
GCF_036370855.1,Dromaius novaehollandiae,emu,Casuariiformes,Dromaiidae,Dromaius,77929039,24239989,16.6,38925.0,-0.4938924647340943,17857,2024-02-26
GCF_028389875.1,Rhea pennata,,Rheiformes,Rheidae,Rhea,82467789,19335416,,,,16410,2023-02-06
GCF_040807025.1,Struthio camelus,African ostrich,Struthioniformes,Struthionidae,Struthio,84633522,28829471,50.0,111000.0,-0.11097140403982308,17572,2024-07-22
GCF_048418815.1,Hemitrygon akajei,red stingray,Myliobatiformes,Dasyatidae,Hemitrygon,175234968,8940806,,,,21646,2025-03-05
GCF_030144855.1,Hypanus sabinus,Atlantic stingray,Myliobatiformes,Dasyatidae,Hypanus,112262883,4266932,,,,22522,2023-06-05
GCF_963921235.1,Mobula hypostoma,lesser devil ray,Myliobatiformes,Myliobatidae,Mobula,152437164,23327000,,,,18916,2024-01-06
GCF_030028105.1,Mobula birostris,giant manta,Myliobatiformes,Myliobatidae,Mobula,148671352,7300797,,,,20172,2023-05-22
GCF_053455715.1,Rhinoraja longicauda,white-bellied softnose skate,Rajiformes,Arhynchobatidae,Rhinoraja,53501714,1663054,,,,18472,2025-11-13
GCF_963514005.1,Raja brachyura,blonde ray,Rajiformes,Rajidae,Raja,68366687,2048057,8.0,7865.0,-0.31576788696563285,18971,2023-09-28
GCF_010909765.2,Amblyraja radiata,thorny skate,Rajiformes,Rajidae,Amblyraja,62052929,1462921,16.0,2337.5,0.06714871355121077,18474,2020-02-21
GCF_028641065.1,Leucoraja erinaceus,little skate,Rajiformes,Rajidae,Leucoraja,57189699,5310386,,,,18970,2023-02-22
GCF_009764475.1,Pristis pectinata,smalltooth sawfish,Rhinopristiformes,Pristidae,Pristis,101699621,17009522,,,,17434,2019-12-19
GCF_036971445.1,Narcine bancroftii,Caribbean electric ray,Torpediniformes,Narcinidae,Narcine,257710454,5195315,,,,18559,2024-03-06
GCF_900747795.2,Erpetoichthys calabaricus,reedfish,Polypteriformes,Polypteridae,Erpetoichthys,217689105,6772339,,,,22075,2021-07-07
GCF_016835505.1,Polypterus senegalus,gray bichir,Polypteriformes,Polypteridae,Polypterus,189689183,4528139,,,,21953,2021-02-09
GCF_047335585.1,Pogona vitticeps,central bearded dragon,Squamata,Agamidae,Pogona,274873533,202516942,12.0,500.0,-0.29418071582469874,19105,2025-01-31
GCF_051106095.1,Pogona vitticeps,central bearded dragon,Squamata,Agamidae,Pogona,266210064,134074000,12.0,500.0,-0.29418071582469874,19760,2025-06-26
GCF_023053635.1,Elgaria multicarinata webbii,,Squamata,Anguidae,Elgaria,121985326,85762895,,,,19563,2024-01-04
GCF_035149785.1,Candoia aspera,,Squamata,Boidae,Candoia,209480725,55640180,,,,18397,2024-01-18
GCF_028640845.1,Ahaetulla prasina,,Squamata,Colubridae,Ahaetulla,231952326,23873608,,,,18292,2023-02-22
GCF_009769535.1,Thamnophis elegans,Western terrestrial garter snake,Squamata,Colubridae,Thamnophis,100851885,4620601,,,,18900,2019-12-23
GCF_027244095.1,Hemicordylus capensis,graceful crag lizard,Squamata,Cordylidae,Hemicordylus,359646233,160691000,,,,21239,2022-12-28
GCF_035594765.1,Anolis carolinensis,green anole,Squamata,Dactyloidae,Anolis,288964324,26091274,,,,20447,2024-01-12
GCF_037176765.1,Anolis sagrei,brown anole,Squamata,Dactyloidae,Anolis,249210491,43146625,,,,20130,2024-03-15
GCF_031021105.1,Erythrolamprus reginae,royal ground snake,Squamata,Dipsadidae,Erythrolamprus,259117534,3064756,,,,19996,2023-08-31
GCF_028583425.1,Eublepharis macularius,,Squamata,Eublepharidae,Eublepharis,145573841,80105973,,,,20469,2023-02-10
GCF_032191835.1,Heteronotia binoei,common prickly gecko,Squamata,Gekkonidae,Heteronotia,150619664,14376057,,,,20682,2023-09-29
GCF_049243985.1,Paroedura picta,,Squamata,Gekkonidae,Paroedura,129360563,52451795,,,,20165,2025-04-02
GCF_963506605.1,Zootoca vivipara,common lizard,Squamata,Lacertidae,Zootoca,96056580,3447840,,,,20197,2023-09-20
GCF_951804945.1,Podarcis cretensis,,Squamata,Lacertidae,Podarcis,94621998,65743000,,,,20094,2023-06-02
GCF_027172205.1,Podarcis raffonei,Aeolian wall lizard,Squamata,Lacertidae,Podarcis,93623253,61439401,,,,20895,2022-12-27
GCF_011800845.1,Zootoca vivipara,common lizard,Squamata,Lacertidae,Zootoca,92810032,219893,,,,20278,2020-04-01
GCF_004329235.1,Podarcis muralis,Common wall lizard,Squamata,Lacertidae,Podarcis,92398148,714612,,,,21258,2019-03-07
GCF_964188315.1,Podarcis muralis,Common wall lizard,Squamata,Lacertidae,Podarcis,91987695,3229453,,,,20953,2024-06-21
GCF_009819535.1,Lacerta agilis,Sand lizard,Squamata,Lacertidae,Lacerta,86565987,6613248,,,,20325,2019-12-31
GCF_019175285.1,Sceloporus undulatus,fence lizard,Squamata,Phrynosomatidae,Sceloporus,275632209,75501,,,,19905,2021-07-08
GCF_030035675.1,Rhineura floridana,,Squamata,Rhineuridae,Rhineura,188683971,18156940,,,,20552,2023-05-22
GCF_035046505.1,Tiliqua scincoides,,Squamata,Scincidae,Tiliqua,242160784,33113817,26.6,493.0,0.05245968729025319,18882,2024-01-04
GCF_021028975.2,Sphaerodactylus townsendi,,Squamata,Sphaerodactylidae,Sphaerodactylus,133801376,9459502,,,,18976,2022-04-08
GCF_029931775.1,Euleptes europaea,tarantolino,Squamata,Sphaerodactylidae,Euleptes,102317683,26991305,,,,18633,2023-05-15
GCF_050624435.1,Tenrec ecaudatus,tailess tenrec,Afrosoricida,Tenrecidae,Tenrec,163958880,41601014,8.7,900.0,-0.20090869373752773,21285,2025-05-30
GCF_028564815.1,Eubalaena glacialis,North Atlantic right whale,Artiodactyla,Balaenidae,Eubalaena,129620717,37467374,67.0,23000000.0,-0.00953159704954043,20149,2023-02-09
GCF_028023285.1,Balaenoptera ricei,Rice's whale,Artiodactyla,Balaenopteridae,Balaenoptera,122071569,36541936,,,,19788,2023-01-30
GCF_949987535.1,Balaenoptera acutorostrata,minke whale,Artiodactyla,Balaenopteridae,Balaenoptera,116513105,3015723,50.0,7500000.0,-0.059876045643793674,20286,2023-05-01
