accession,organism_name,common_name,species_taxid,infraclass,order,family,genus,assembly_name,assembly_level,refseq_category,scaffold_n50,contig_n50,total_sequence_length,scaffold_count,contig_count,gc_percent,genome_coverage,gene_count,protein_coding_count,submission_date,annotation_name
GCF_019279795.1,Protopterus annectens,West African lungfish,7888,,Ceratodontiformes,Protopteridae,Protopterus,PAN1.0,Chromosome,reference genome,1974114035,1603140,40054324612,12667,74227,40,50,30570,22039,2021-07-20,NCBI Protopterus annectens Annotation Release 100
GCF_037176945.1,Latimeria chalumnae,coelacanth,7897,,Coelacanthiformes,Coelacanthidae,Latimeria,fLatCha1.pri,Chromosome,reference genome,188107785,42076942,2947609019,197,351,42.5,41.94,28938,19735,2024-03-18,GCF_037176945.1-RS_2024_04
GCF_030867095.1,Alligator mississippiensis,American alligator,8496,,Crocodylia,Alligatoridae,Alligator,rAllMis1,Chromosome,reference genome,255078640,38556409,2346779227,194,355,45,35.86,31016,20269,2023-08-24,GCF_030867095.1-RS_2023_09
GCF_033958435.1,Carettochelys insculpta,pitted-shelled turtle,44489,,Testudines,Carettochelyidae,Carettochelys,ASM3395843v1,Chromosome,reference genome,130115908,126464372,2180317067,134,146,45.5,34,24778,18883,2023-11-27,GCF_033958435.1-RS_2025_07
GCF_965140235.1,Caretta caretta,loggerhead turtle,8467,,Testudines,Cheloniidae,Caretta,rCarCar1.hap1,Chromosome,reference genome,137541926,124322749,2217236305,36,97,44,55,27672,20304,2025-02-13,GCF_965140235.1-RS_2025_07
GCF_965140265.1,Lepidochelys kempii,Atlantic ridley,8472,,Testudines,Cheloniidae,Lepidochelys,rLepKem1.hap2,Chromosome,,136811586,59796335,2204769334,88,332,44,35,23775,19286,2025-03-26,GCF_965140265.1-RS_2025_04
GCF_965140285.1,Lepidochelys kempii,Atlantic ridley,8472,,Testudines,Cheloniidae,Lepidochelys,rLepKem1.hap1,Chromosome,reference genome,136730895,52784435,2219022919,54,273,44,35,24663,19713,2025-03-26,GCF_965140285.1-RS_2026_01
GCF_965152235.1,Eretmochelys imbricata,hawksbill sea turtle,27787,,Testudines,Cheloniidae,Eretmochelys,rEreImb1.hap1,Chromosome,reference genome,136542973,80323000,2217987207,56,187,44,46,22940,18974,2025-04-10,GCF_965152235.1-RS_2025_12
GCF_015237465.2,Chelonia mydas,Green sea turtle,8469,,Testudines,Cheloniidae,Chelonia,rCheMyd1.pri.v2,Chromosome,reference genome,134428053,39415510,2134358617,92,390,44,60,28491,19752,2021-07-15,NCBI Chelonia mydas Annotation Release 103
GCF_965152275.1,Natator depressus,flatback sea turtle,27790,,Testudines,Cheloniidae,Natator,rNatDep2.hap1,Chromosome,reference genome,134157645,77014821,2173430419,40,211,44,41,26606,19872,2025-02-16,GCF_965152275.1-RS_2025_07
GCF_023653815.2,Caretta caretta,loggerhead turtle,8467,,Testudines,Cheloniidae,Caretta,GSC_CCare_1.0,Chromosome,,130956235,18214114,2133995980,2007,2751,44,109,24887,20259,2022-06-07,NCBI Caretta caretta Annotation Release 100
GCF_009764565.3,Dermochelys coriacea,leatherback sea turtle,27794,,Testudines,Dermochelyidae,Dermochelys,rDerCor1.pri.v4,Chromosome,reference genome,137568771,7029801,2164762090,40,706,43.5,63.68,27589,18775,2021-08-25,NCBI Dermochelys coriacea Annotation Release 101
GCF_028017835.1,Emys orbicularis,European pond turtle,82168,,Testudines,Emydidae,Emys,rEmyOrb1.hap1,Chromosome,reference genome,146456333,91255289,2309740635,106,254,44.5,30.12,22788,19783,2023-01-30,GCF_028017835.1-RS_2024_05
GCF_027887155.1,Malaclemys terrapin pileata,,2991368,,Testudines,Emydidae,Malaclemys,rMalTer1.hap1,Chromosome,reference genome,144565223,75591180,2211221380,76,217,44.5,30.26,26235,20938,2023-01-18,GCF_027887155.1-RS_2023_03
GCF_013100865.1,Trachemys scripta elegans,,31138,,Testudines,Emydidae,Trachemys,CAS_Tse_1.0,Chromosome,reference genome,140411086,204575,2126182493,137,17979,44,60,22456,18662,2020-05-15,NCBI Trachemys scripta elegans Annotation Release 100
GCF_011386835.1,Chrysemys picta bellii,western painted turtle,8478,,Testudines,Emydidae,Chrysemys,ASM1138683v2,Chromosome,reference genome,133555881,13370154,2372089908,9850,11120,45,20.5,35699,25216,2023-09-08,GCF_011386835.1-RS_2024_05
GCF_020497125.1,Mauremys mutica,yellowpond turtle,74926,,Testudines,Geoemydidae,Mauremys,ASM2049712v1,Chromosome,reference genome,135065811,15010728,2484351270,594,1635,45,99.81,35641,23281,2021-10-14,NCBI Mauremys mutica Annotation Release 100
GCF_016161935.1,Mauremys reevesii,Reeves's turtle,260615,,Testudines,Geoemydidae,Mauremys,ASM1616193v1,Chromosome,reference genome,130473029,33352699,2367590653,229,627,45,96.7,41089,22618,2020-12-22,NCBI Mauremys reevesii Annotation Release 100
