accession,organism_name,common_name,species_taxid,infraclass,order,family,genus,scaffold_n50,contig_n50,total_sequence_length,max_lifespan,body_mass,LQ,refseq_category,submission_date
GCA_001624675.1,Mus musculus,house mouse,10090,,,,,147352698,9438,2982046949,4.0,20.5,-0.2793035149459061,,2016-04-26
GCA_054392225.1,Sus scrofa,pig,9823,,,,,147065450,145661104,2507355615,27.0,130000.0,-0.04970683452435787,,2026-01-07
GCA_042859625.1,Ovis canadensis,bighorn sheep,37174,,,,,145377479,145377479,145377479,20.6,70275.0,-0.1250678532122389,,2024-10-18
GCA_054392235.2,Sus scrofa,pig,9823,,,,,145095113,145095113,2656429699,27.0,130000.0,-0.04970683452435787,,2026-01-28
GCA_048338725.1,Sus scrofa,pig,9823,,,,,144930921,144930921,2633166191,27.0,130000.0,-0.04970683452435787,,2025-03-05
GCA_001624475.1,Mus musculus,house mouse,10090,,,,,144777665,13074,2921711655,4.0,20.5,-0.2793035149459061,,2016-04-26
GCA_030265425.1,Mus musculus,house mouse,10090,,,,,144428894,40804356,2790916468,4.0,20.5,-0.2793035149459061,,2023-06-13
GCA_049999145.1,Sus scrofa,pig,9823,,,,,144007479,77119767,2589960305,27.0,130000.0,-0.04970683452435787,,2025-04-29
GCA_041937265.1,Sus scrofa,pig,9823,,,,,143604440,54480439,2656524398,27.0,130000.0,-0.04970683452435787,,2024-09-18
GCA_000003025.7,Sus scrofa,pig,9823,,,,,143529065,143529065,2688404542,27.0,130000.0,-0.04970683452435787,reference genome,2025-12-01
GCA_046128825.1,Sus scrofa,pig,9823,,,,,143437317,11062,2550807703,27.0,130000.0,-0.04970683452435787,,2024-12-18
GCA_050231125.1,Sus scrofa,pig,9823,,,,,143096131,90477219,2660441857,27.0,130000.0,-0.04970683452435787,,2025-05-07
GCA_030704935.2,Sus scrofa,pig,9823,,,,,142295742,142295742,2659043654,27.0,130000.0,-0.04970683452435787,,2025-11-21
GCA_963921485.1,Sus scrofa,pig,9823,,,,,142074565,142074565,2633787619,27.0,130000.0,-0.04970683452435787,,2024-01-11
GCA_037447515.1,Sus scrofa,pig,9823,,,,,141826808,84745168,2714121607,27.0,130000.0,-0.04970683452435787,,2024-03-22
GCA_023065835.1,Hippopotamus amphibius,hippopotamus,9833,,,,,141669128,49478000,2424261695,61.2,3750000.0,0.07538586303636063,,2022-04-22
GCA_050437135.1,Mus musculus,house mouse,10090,,,,,141298708,141298708,2772909741,4.0,20.5,-0.2793035149459061,,2025-05-19
GCA_055447695.1,Sus scrofa,pig,9823,,,,,141082737,48482405,2537664381,27.0,130000.0,-0.04970683452435787,,2026-02-23
GCA_040869115.1,Sus scrofa,pig,9823,,,,,140747000,64441000,2721475704,27.0,130000.0,-0.04970683452435787,,2024-07-26
GCA_024718415.1,Sus scrofa,pig,9823,,,,,140684285,8942329,2455664950,27.0,130000.0,-0.04970683452435787,,2022-08-23
GCA_007644095.1,Sus scrofa,pig,9823,,,,,140438739,1009524,2491053062,27.0,130000.0,-0.04970683452435787,,2019-08-01
GCA_044906105.1,Sus scrofa,pig,9823,,,,,140102113,43824660,2620959165,27.0,130000.0,-0.04970683452435787,,2024-11-19
GCA_048418805.1,Vulpes vulpes,red fox,9627,,,,,139969695,55675583,2395584468,21.3,4131.7,0.08355446913821374,reference genome,2025-03-05
GCF_048418805.1,Vulpes vulpes,red fox,9627,,,,,139969695,55675583,2395584468,21.3,4131.7,0.08355446913821374,reference genome,2025-03-05
GCA_964106925.2,Vulpes vulpes,red fox,9627,,,,,139452099,2052204,2398532178,21.3,4131.7,0.08355446913821374,,2024-06-27
GCA_043972725.1,Mus musculus,house mouse,10090,,,,,139350059,65506188,2720445931,4.0,20.5,-0.2793035149459061,,2024-10-28
GCA_964106825.2,Vulpes vulpes,red fox,9627,,,,,139235879,2040520,2411710590,21.3,4131.7,0.08355446913821374,,2024-06-27
GCA_031225015.1,Sus scrofa,pig,9823,,,,,139229676,34948847,2447632473,27.0,130000.0,-0.04970683452435787,,2023-09-08
GCA_001632555.1,Mus musculus,house mouse,10090,,,,,139118349,12707,2806783987,4.0,20.5,-0.2793035149459061,,2016-05-09
GCA_044906185.1,Sus scrofa,pig,9823,,,,,138906736,47507740,2716729215,27.0,130000.0,-0.04970683452435787,,2024-11-19
GCA_031306245.1,Sus scrofa,pig,9823,,,,,138613896,5865964,2484527367,27.0,130000.0,-0.04970683452435787,,2023-09-14
GCA_947593165.1,Mus musculus,house mouse,10090,,,,,137857036,32925788,2822905246,4.0,20.5,-0.2793035149459061,,2022-12-18
GCA_015776825.1,Sus scrofa,pig,9823,,,,,137575542,4265198,2458240772,27.0,130000.0,-0.04970683452435787,,2020-12-08
GCA_039654815.1,Sus scrofa,pig,9823,,,,,137306111,4924071,2519994213,27.0,130000.0,-0.04970683452435787,,2024-05-17
GCA_964188535.1,Mus musculus,house mouse,10090,,,,,137126213,78831185,2731306900,4.0,20.5,-0.2793035149459061,,2024-06-23
GCA_001632615.1,Mus musculus,house mouse,10090,,,,,135164694,12608,2730782202,4.0,20.5,-0.2793035149459061,,2016-05-09
GCA_001624185.1,Mus musculus,house mouse,10090,,,,,134541008,14243,2732657393,4.0,20.5,-0.2793035149459061,,2016-04-26
GCA_947599735.1,Mus musculus,house mouse,10090,,,,,134505790,21715937,2856310111,4.0,20.5,-0.2793035149459061,,2022-12-18
GCA_001632575.1,Mus musculus,house mouse,10090,,,,,133067396,14540,2701115015,4.0,20.5,-0.2793035149459061,,2016-05-09
GCA_001624295.1,Mus musculus,house mouse,10090,,,,,132982296,23042,2712691254,4.0,20.5,-0.2793035149459061,,2016-04-26
GCA_001624745.1,Mus musculus,house mouse,10090,,,,,132960827,16509,2699250994,4.0,20.5,-0.2793035149459061,,2016-04-26
GCA_949316315.1,Mus musculus,house mouse,10090,,,,,132150484,39533248,2770952436,4.0,20.5,-0.2793035149459061,,2023-04-08
GCA_002844635.1,Sus scrofa,pig,9823,,,,,131458098,6372407,2755421422,27.0,130000.0,-0.04970683452435787,,2017-12-20
GCA_921998315.2,Mus musculus,house mouse,10090,,,,,130880718,49659417,2603156777,4.0,20.5,-0.2793035149459061,,2022-07-01
GCA_900119615.2,Sus scrofa,pig,9823,,,,,129927919,4224874,175055249,27.0,130000.0,-0.04970683452435787,,2017-02-08
GCA_001632525.1,Mus musculus,house mouse,10090,,,,,129642644,16195,2627327954,4.0,20.5,-0.2793035149459061,,2016-05-09
GCA_001624215.1,Mus musculus,house mouse,10090,,,,,129072804,19043,2629979094,4.0,20.5,-0.2793035149459061,,2016-04-26
GCA_001624505.1,Mus musculus,house mouse,10090,,,,,128213663,13123,2606145858,4.0,20.5,-0.2793035149459061,,2016-04-26
GCA_043792745.1,Mus musculus,house mouse,10090,,,,,127881904,49788210,2894337515,4.0,20.5,-0.2793035149459061,,2024-10-28
GCA_043793115.1,Mus musculus,house mouse,10090,,,,,127549461,45942035,2855296846,4.0,20.5,-0.2793035149459061,,2024-10-28
GCA_921998325.2,Mus musculus,house mouse,10090,,,,,127269091,6749549,2517347543,4.0,20.5,-0.2793035149459061,,2022-07-01
GCA_921997125.2,Mus musculus,house mouse,10090,,,,,127227482,8562414,2532421144,4.0,20.5,-0.2793035149459061,,2022-07-01
GCA_921998355.2,Mus musculus,house mouse,10090,,,,,127192181,16959821,2528244766,4.0,20.5,-0.2793035149459061,,2022-06-30
GCA_921997145.2,Mus musculus,house mouse,10090,,,,,127177172,35826829,2519896772,4.0,20.5,-0.2793035149459061,,2022-07-01
GCA_001624535.1,Mus musculus,house mouse,10090,,,,,127063089,15797,2588602990,4.0,20.5,-0.2793035149459061,,2016-04-26
GCA_921998905.2,Mus musculus,house mouse,10090,,,,,126990816,12206296,2520486995,4.0,20.5,-0.2793035149459061,,2022-06-30
GCA_922000895.2,Mus musculus,house mouse,10090,,,,,126857991,4609526,2502421059,4.0,20.5,-0.2793035149459061,,2022-07-01
GCA_921999865.2,Mus musculus,house mouse,10090,,,,,126851431,8304515,2514593528,4.0,20.5,-0.2793035149459061,,2022-07-01
GCA_921998555.2,Mus musculus,house mouse,10090,,,,,126792426,5000807,2516247871,4.0,20.5,-0.2793035149459061,,2022-07-01
GCA_921998635.2,Mus musculus,house mouse,10090,,,,,126399372,1916862,2516150399,4.0,20.5,-0.2793035149459061,,2022-07-01
GCA_031763685.1,Mus musculus,house mouse,10090,,,,,121827883,36353998,2717934897,4.0,20.5,-0.2793035149459061,,2023-09-22
GCA_052575565.1,Mus musculus,house mouse,10090,,,,,120867929,120867929,2613050807,4.0,20.5,-0.2793035149459061,,2025-09-12
GCA_000001635.9,Mus musculus,house mouse,10090,,,,,106145001,59462871,2728206152,4.0,20.5,-0.2793035149459061,reference genome,2020-06-24
GCF_000001635.27,Mus musculus,house mouse,10090,,,,,106145001,59462871,2728206152,4.0,20.5,-0.2793035149459061,reference genome,2020-06-24
GCA_042477335.2,Ovis canadensis,bighorn sheep,37174,,,,,105224494,105224494,2974267070,20.6,70275.0,-0.1250678532122389,reference genome,2024-10-18
GCF_042477335.2,Ovis canadensis,bighorn sheep,37174,,,,,105224494,105224494,2974267070,20.6,70275.0,-0.1250678532122389,reference genome,2024-10-18
GCA_052575535.1,Mus musculus,house mouse,10090,,,,,101961922,101961922,2636461246,4.0,20.5,-0.2793035149459061,,2025-09-12
GCA_031761455.1,Mus musculus,house mouse,10090,,,,,101020256,30118904,2754161322,4.0,20.5,-0.2793035149459061,,2023-09-22
GCA_004329235.1,Podarcis muralis,Common wall lizard,64176,,,,,92398148,714612,1511002858,,,,,2019-03-07
GCF_004329235.1,Podarcis muralis,Common wall lizard,64176,,,,,92398148,714612,1511002858,,,,,2019-03-07
GCA_964188315.1,Podarcis muralis,Common wall lizard,64176,,,,,91987695,3229453,1522624192,,,,reference genome,2024-06-21
GCF_964188315.1,Podarcis muralis,Common wall lizard,64176,,,,,91987695,3229453,1522624192,,,,reference genome,2024-06-21
