accession,organism_name,common_name,species_taxid,infraclass,order,family,genus,assembly_name,assembly_level,refseq_category,scaffold_n50,contig_n50,total_sequence_length,scaffold_count,contig_count,gc_percent,genome_coverage,gene_count,protein_coding_count,submission_date,annotation_name
GCA_001624675.1,Mus musculus,house mouse,10090,,,,,NOD_ShiLtJ_v1,Chromosome,,147352698,9438,2982046949,5543,539649,42,60,0,0,2016-04-26,
GCA_054392225.1,Sus scrofa,pig,9823,,,,,Sscrofa_HxYL_paternal_Hampshire_1.0,Chromosome,,147065450,145661104,2507355615,23,28,42.5,50,0,0,2026-01-07,
GCA_042859625.1,Ovis canadensis,bighorn sheep,37174,,,,,Bighorn female F1,Complete Genome,,145377479,145377479,145377479,1,1,41,50,0,0,2024-10-18,
GCA_054392235.2,Sus scrofa,pig,9823,,,,,ASM5439223v2,Chromosome,,145095113,145095113,2656429699,37,41,42.5,,0,0,2026-01-28,
GCA_048338725.1,Sus scrofa,pig,9823,,,,,T2T_pig1.0,Complete Genome,,144930921,144930921,2633166191,20,20,42.5,70,0,0,2025-03-05,
GCA_001624475.1,Mus musculus,house mouse,10090,,,,,CBA_J_v1,Chromosome,,144777665,13074,2921711655,5465,370462,42,60,0,0,2016-04-26,
GCA_030265425.1,Mus musculus,house mouse,10090,,,,,NEI_Mmus_1.0,Chromosome,,144428894,40804356,2790916468,41,8743,41.5,70,0,0,2023-06-13,
GCA_049999145.1,Sus scrofa,pig,9823,,,,,NJ_2022_AUG,Chromosome,,144007479,77119767,2589960305,60,131,42.5,33.77,0,0,2025-04-29,
GCA_041937265.1,Sus scrofa,pig,9823,,,,,Banna,Chromosome,,143604440,54480439,2656524398,43,376,42.5,36.8,0,0,2024-09-18,
GCA_000003025.7,Sus scrofa,pig,9823,,,,,T2T-Sscrofa,Complete Genome,reference genome,143529065,143529065,2688404542,20,20,42.5,120,0,0,2025-12-01,
GCA_046128825.1,Sus scrofa,pig,9823,,,,,ICAR-NRCP-G1,Chromosome,,143437317,11062,2550807703,25393,386440,42,50,0,0,2024-12-18,
